name,date,star,comment,comment_prep,sentiment
agustiani bone,17 Desember 2024,4,game nya bagus dan grafis nya juga bagus tapi kadang dikasih musuh yang gak ngotak dan ada yang nama nya penurunan rank tapi bagus nya ada build 1 hit dan itu membantu banget jadi nanti pas update nanti jangan ada yang nama nya penurunan rank dan aku gak mau dikasih musuh kagak ngotak..... oke itu aja yang aku saranin untuk monton dan semoga monton gak gitu gitu lagi,game nya bagus grafis nya bagus kadang dikasih musuh gak ngotak nama nya penurunan rank bagus nya build 1 hit membantu banget pas update nama nya penurunan rank gak dikasih musuh kagak ngotak ..... oke aja saranin monton semoga monton gak gitu gitu,positif
aqila Amira,18 Desember 2024,5,"Game nya sih bagus, tpi biasanya sinyalnya merah sendiri pdhal wifi nya lancar,tp klo pke yg lain sinyalnya ga merah. Terus biasanya klo lagi di match nusuhnya dapetnya yg jago²,sedangkan musuh aku ga pada ngotak²semua pdahal rank nya mhytic to dikasih musuh yg rank nya udh mytic imortal. Tolong diperbaiki yah mobile legend🙋",game nya sih bagus tpi sinyalnya merah pdhal wifi nya lancar tp klo pke yg sinyalnya ga merah klo match nusuhnya dapetnya yg jago² musuh ga ngotak²semua pdahal rank nya mhytic to dikasih musuh yg rank nya udh mytic imortal tolong diperbaiki yah mobile legend,negatif
Nami,17 Desember 2024,4,"Grafik nya sangat bagus apa lagi skin nya sesuai dengan harga nya tapi tolong untuk skin basic gitu di kasih efek sedikit biar bagus juga,untuk game play nya tolong di perbaiki agar tidak selalu bertemu dark sistem",grafik nya bagus skin nya sesuai harga nya tolong skin basic gitu kasih efek biar bagus game play nya tolong perbaiki bertemu dark sistem,negatif
Ananda Rizky,12 Desember 2024,1,"Harus saya koreksi pernyataan saya, Sistem matchmaking terburuk yang pernah saya temui, seluruh player merupakan exp dan mid di dua game berturut turut, sungguh sistem sampah yang membuat pemainnya lebih lama bermain, jika ini terus terusan terjadi, saya tidak akan ragu untuk men cap game ini game ""sampah"", mohon moonton tindakan tepatnya",koreksi pernyataan sistem matchmaking terburuk temui player exp mid game sungguh sistem sampah pemainnya bermain terusan ragu men cap game game sampah mohon moonton tindakan tepatnya,negatif
ruffy d'syihab,13 November 2024,1,"Untuk gamenya sudah bagus ya, tapi untuk beberapa kekurangan dianatarnya ada seperti berikut: 1. Tolong jaringan distabilkan ya, karena jika jaringan tidak stabil akan berkurang permainan bermain 2. Tolong hilangkan dark system, karena jika ada dark system secara terus menerus, bagaimana rank mau naik, kalau dihadapkan pemain yang tidak bisa bermain, tolong diberi lawan yang sepadan",gamenya bagus ya kekurangan dianatarnya 1. tolong jaringan distabilkan ya jaringan stabil berkurang permainan bermain 2. tolong hilangkan dark system dark system menerus rank dihadapkan pemain bermain tolong lawan sepadan,negatif
Dika Store - One Sony,18 November 2024,3,"Semenjak, Saya main game MOBA ini saya mengalami masalah 1 . Di saat jaringan hilang sebentar Nge freeze GK bisa di pencet? 2. Masalah bug pada Hero dan event !! 3. Setelah Match Gampang Nge bug Tiba tiba event hilang sendiri !? 4. Masalah jaringan, padahal sinyal full tetap lah dan crash !! 5. Kurangi player yang rank nya tinggi , melawan yang rank nya rendah ‼️",semenjak main game moba mengalami 1 jaringan hilang sebentar nge freeze gk pencet 2. bug hero event 3. match gampang nge bug event hilang 4. jaringan sinyal full crash 5. kurangi player rank nya melawan rank nya rendah,negatif
Rayyan Charles,28 November 2024,1,Sistem matchaking nya buruk... Di tambah lagi karena banyaknya penjoki yang bikin gameplay tidak setara antara tim dan musuh. Percuma banyak event tapi tidak ada tindakan lanjut. Gak kayak game HOK. Hadeh... Uninstall saja.,sistem matchaking nya buruk ... banyaknya penjoki bikin gameplay setara tim musuh event tindakan gak kayak game hok hadeh ... uninstall,negatif
Sultan Dzaqy,4 Desember 2024,3,"Moonton maaf aku kasih bintang 3,soal nya mekanisme team/musuh nya itu gila banget, kadang aku dapat team yang jelek, kadang dapat musuh yang pro semua, dan itu membuat ku lama kelamaan membenci mobile legend, karena.. Aku sebagai player solo merasa berat karena kadang mendapat musuh/team yang susah/troll. Dulu aku sangat suka bermain Mobile Legend Bang Bang karena Gameplay yang bagus, tetapi sayang mekanisme team/musuh terlalu sampah. Mungkin itu yang membuat player merasa bosan bermain Mlbb.",moonton maaf kasih bintang 3 nya mekanisme team musuh nya gila banget kadang team jelek kadang musuh pro ku membenci mobile legend .. player solo berat kadang musuh team susah troll suka bermain mobile legend bang bang gameplay bagus sayang mekanisme team musuh sampah player bosan bermain mlbb,negatif
Ra Kuru,6 Desember 2024,1,"kapasitas sebagai game besar saya meragukan nya, selalu saja disepanjang tahun dan musim, problem selalu hanya ada pada lag, freeze, crash, hero berjalan sendiri, ping merah, de-lay nya tombol perintah dengan gerakan hero, walaupun kondisi smartphone sangat baik, sepeerti ram tinggi, internal memory masih tersedia ruang sangat banyak, sinyal selalu stabil senantiasa penuh, entah ini dari server nya yang sangat rusak atau kartu sim nya yang saya pakai memang kondisi tidak baik,",kapasitas game meragukan nya disepanjang musim problem lag freeze crash hero berjalan ping merah de lay nya tombol perintah gerakan hero kondisi smartphone sepeerti ram internal memory tersedia ruang sinyal stabil senantiasa penuh server nya rusak kartu sim nya pakai kondisi,negatif
Robby First,28 November 2024,1,"Setelah win streak siasat moonton untuk menurunkan bintang itu dengan cara memberi player seperti kita itu mainnya jelek di XP maupun jungler, Karena saya sudah melakukan riset atau melakukan beberapa pertandingan dan hasilnya seperti itu terus antara jungler dan XP itu mainnya jelek itu sudah pasti. Kadang jaringan naik turun tidak jelas pada sinyal itu stabil saat bermain game itu terasa ngelag sudah pasti itu diturunkan bintangnya aku sudah paham diriku sudah paham. Tetap bintang 1 dari saya",win streak siasat moonton menurunkan bintang player mainnya jelek xp jungler riset pertandingan hasilnya jungler xp mainnya jelek kadang jaringan turun sinyal stabil bermain game ngelag diturunkan bintangnya paham diriku paham bintang 1,negatif
Bary Susanto,22 November 2024,1,"Bug. Sinyal WiFi normal, kecepatan stabil, ping di bawah 50, tapi lag banget padahal HP mumpuni, kadang ping langsung jumping. Gak ada masalah dengan provider WiFi saya, semua normal tapi ini memang lag banget. Kalau HP saya RAM 2GB mungkin tidak aneh, tapi ini HP saya bisa ultra, RAM 8, masa ping hijau kok lag. Parah sih.",bug sinyal wifi normal kecepatan stabil ping 50 lag banget hp mumpuni kadang ping langsung jumping gak provider wifi normal lag banget hp ram 2gb aneh hp ultra ram 8 ping hijau lag parah sih,negatif
Zen Vancx,28 November 2024,1,"Makin kesini , update nya makin ga jelas , dari bug , sampe masalah koneksi , buat sekarang koneksi makin ga stabil , padahal udah di dorong pakai wifi + data , tapi ping masih di 100 - 120 ms , tolong dong perbaiki masalah koneksi , bug , dan macthing 🙏🙏",kesini update nya ga bug sampe koneksi koneksi ga stabil udah dorong pakai wifi data ping 100 120 ms tolong perbaiki koneksi bug macthing,negatif
Egy ARRAUDHO,2 Desember 2024,3,"Saran saya sih untuk game ini.. Tolong jangan terlalu ngurusin event, ya tapi penting juga sih,, tapi ada yg lebih penting nih moonton.. Tolong utamain masalah bug ya soalnya gak nyaman main ni game kalo bug mulu kayak contoh: 1.)masalah stuck di logo mobile legend, ya walau gak ngaruh amat sih. Tapi ribet harus login ulang. 2.) masalah sinyal^masa saya main pake wifi tiba tiba gk bisa gerak tapi sinyal ijo agak lama baru merah.. Tapi pas saya main pake kuota ya sama aja sih. Ngeselin emang^...",saran sih game .. tolong ngurusin event ya sih yg nih moonton .. tolong utamain bug ya gak nyaman main ni game kalo bug mulu kayak contoh 1. stuck logo mobile legend ya gak ngaruh sih ribet login ulang 2. sinyal main pake wifi gk gerak sinyal ijo merah .. pas main pake kuota ya aja sih ngeselin emang ...,negatif
Aip Saputra,16 November 2024,5,"Game nya bagus, dari grafik dan lainnya. Minusnya cuma pas match suka kebagian musuh yang gk ngotak, tapi tim sendiri payah. Kadang juga wifi nya merah, padahal jaringannya bagus klo d pke yg lain . Semangat terus, dan semoga bisa lebih diperhatikan lagi game nya.",game nya bagus grafik minusnya pas match suka kebagian musuh gk ngotak tim payah kadang wifi nya merah jaringannya bagus klo d pke yg semangat semoga diperhatikan game nya,positif
Zacky Muhamad0906,18 November 2024,1,"selalu diberi tim yang tidak logis,rank tidak sesuai,lawan kompak,sedangkan tim malah diberi yang feed,padahal niat cuma mau nyari kesenangan tapi ko malah gini ya? ,lama lama juga cape moonton,tolong kasih perbaikan terhadap pertemuan player saat match,beri yang sesuai rank dan role,diberi publik kurang bagus,lose streak 11,ketika main 5, musuh nya berbeda jauh rank immortal,tidak sepadan,dimohon perbaikan nya , 😄",tim logis rank sesuai lawan kompak tim feed niat nyari kesenangan ko gini ya cape moonton tolong kasih perbaikan pertemuan player match sesuai rank role publik bagus lose streak 11 main 5 musuh nya berbeda rank immortal sepadan dimohon perbaikan nya,negatif
Muhamad Solihin,9 Desember 2024,5,"Game nya sih oke grafik bagus menarik banyak event, cuma segi permainannya yang buruk. Sering rebutan lane, kedua tim yang tidak seimbang udah kaya setim sama computer lawan player. Saya kira game nya makin update makin bagus pembagian timnya ternyata malah makin buruk",game nya sih oke grafik bagus menarik event segi permainannya buruk rebutan lane tim seimbang udah kaya setim computer lawan player game nya update bagus pembagian timnya buruk,negatif
Loid “Loid_forger” Forger,22 November 2024,1,"Sekarang makin ga jelas setiap kali main selalu musuh nya lebih kuat,jago sedangkan di tim saya tidak ada yg sebanding dengan tim lawan,alhasil selalu lose streak , hingga yang di awal saya mulai menikmati game ini sekarang malah bosan, lebih baik di tutup aja mlbb ini jika tidak bisa menyesuaikan kemampuan dari masing"" player saat team matching...!! Semoga hari mu suram...!! 😊 Edit: sekarang malah jaringan pas main ga stabil selalu lag jadi ga bisa nikmatin permainan. Dasar developer gak jls.",ga kali main musuh nya kuat jago tim yg sebanding tim lawan alhasil lose streak menikmati game bosan tutup aja mlbb menyesuaikan kemampuan player team matching ... semoga mu suram ... edit jaringan pas main ga stabil lag ga nikmatin permainan dasar developer gak jls,negatif
KINCIR Esports,23 November 2024,1,"saya heran lihat aplikasi MLBB ini padahal aplikasi nya sering update, sering update bukannya makin bagus tapi makin buruk. 1. jaringan tidak sesuai yang di loby dan di cek status jaringan, jaringan di loby dan di cek status jaringan bagus tapi di pertandingan jaringan naik turun hijau/kuning. 2. hp cepat panas, bikin FPS drop dan patah-patah. 3 match making tidak sesuai, tim sendiri dikasih dark sistem sedangkan tim musuh dikasih yang jago-jago/ngerti main.",heran lihat aplikasi mlbb aplikasi nya update update bagus buruk 1. jaringan sesuai loby cek status jaringan jaringan loby cek status jaringan bagus pertandingan jaringan turun hijau kuning 2. hp cepat panas bikin fps drop patah patah 3 match making sesuai tim dikasih dark sistem tim musuh dikasih jago jago ngerti main,negatif
Muhammad Farrel,16 November 2024,1,"Game kikir penuh masalah, mulai dari jaringan yang sering down padahal aplikasi lain lancar, sering nge bug juga interface nya seperti tombol start matchmaking yang tidak bisa di pencet dan beragam hal lainnya, selain itu matchmaking nya sendiri sangatlah rusak mulai dari isu darksystem atau pun loser queue yang membuat kita mendapat tim yang sangat tidak seimbang, dan juga optimalisasi gameolay nya yg masih kurang termasuk Revamp Hero yang sangat tidak memuaskan, semoga bisa diperbaiki kemudian",game kikir penuh jaringan down aplikasi lancar nge bug interface nya tombol start matchmaking pencet beragam matchmaking nya rusak isu darksystem loser queue tim seimbang optimalisasi gameolay nya yg revamp hero memuaskan semoga diperbaiki,negatif
Vian March,25 November 2024,1,"Game ini sudah mulai rusak, kenapa saat main tiba-tiba sinyal merah, padahal main aman² saja, selalu gitu, klau dapat team bagus, pasti sinyal tiba² jelek, saat dapat team yang kurang mendukung, pasti sinyal lancar sekali, mohon systemnya diperbaiki, bikin malas aja main, niat mau tenangin diri dengan bermain, malah bikin orang emosi dan stress, semoga player ML tidak pindah ke game sebelah",game rusak main sinyal merah main aman² gitu klau team bagus sinyal tiba² jelek team mendukung sinyal lancar mohon systemnya diperbaiki bikin malas aja main niat tenangin bermain bikin orang emosi stress semoga player ml pindah game sebelah,negatif
Aldo Yoga,22 November 2024,1,"tolong bug yang habis loading in game di perbaiki, sering kali saya sudah sampai in game tidak bisa gerak cuma diem di base sedangkan temen saya bisa gerak. padahal sinyalnya sama sama bagus soalnya kita pake wifi yang sama. ini mengganggu gameplay banget, dari yang harusnya bisa menang di early game jadi kalah karena saya tidak bisa gerak seperti lagi ngelag padahal sinyalnya bagus",tolong bug habis loading in game perbaiki kali in game gerak diem base temen gerak sinyalnya bagus pake wifi mengganggu gameplay banget menang early game kalah gerak ngelag sinyalnya bagus,negatif
Harmiati Spn,4 Desember 2024,1,"Makin ngeyel ni game, dapat tim yg tidak seimbang, kadang tim lawan lebih kuat dari pada tim kita, tim kita ada yg troll, jaringan wifi udah bagus tapi ngeleg-ngeleg pas main ml, tolong diperbaiki yg kayak begini, tolong jaringan udah bagus kok tiba"" ngeleg, dapat tim dark sistem terus, pilih kasih banget, tolong moonton seimbangkan tim dengan lawan, jangan berar sebelah, tidak menarik sekali, jaringan lag, permainan tidak sesuai, game tidak bagusss",ngeyel ni game tim yg seimbang kadang tim lawan kuat tim tim yg troll jaringan wifi udah bagus ngeleg ngeleg pas main ml tolong diperbaiki yg kayak tolong jaringan udah bagus ngeleg tim dark sistem pilih kasih banget tolong moonton seimbangkan tim lawan berar sebelah menarik jaringan lag permainan sesuai game bagusss,negatif
Indra Setia Kurniawan Sinamo,15 November 2024,1,"Dari season ke season lalu terus menerus dilakukan update, sudah gitu banyak makan ""tempat"". Ternyata sistem match making sama saja malah makin dark. aku pribadi tidak ada masalah kalah 10 kali dengan tim & lawan yg seimbang, ini kalah 10 kali dengan tim tolol kadang² dapat tim boot sementara tim lawan pada hebat semua. Lama² ini game buat stress, yg harusnya jadi penghilang stress. Belum lagi masalah lainnya seperti bugg, jaringan yg tiba² hilang dst.",season season menerus update gitu makan sistem match making dark pribadi kalah 10 kali tim lawan yg seimbang kalah 10 kali tim tolol kadang² tim boot tim lawan hebat lama² game stress yg penghilang stress bugg jaringan yg tiba² hilang dst,negatif
Gaming Hd,12 November 2024,1,"Game bagus dan keren, suatu kendala dari game ini berada pada sistem matchmaking dan jaringan... Selain sistem matchmaking yang buruk, terkadang jaringan juga buruk... seperti ping ijo tpi ngeleg lah, dari ping ijo naik ke ping merah, gw nonton 4k g ada tuh yang namanya ngeleg.... jadi tolonglah diperbaiki kendala ini.... Sekian Terima gaji",game bagus keren kendala game sistem matchmaking jaringan ... sistem matchmaking buruk terkadang jaringan buruk ... ping ijo tpi ngeleg ping ijo ping merah gw nonton 4k g tuh namanya ngeleg .... tolonglah diperbaiki kendala .... sekian terima gaji,negatif
Funi Toon,8 Desember 2024,1,"1. Matchmaking tak seimbang 2. Saat pertandingan jaringan suka menghubungkan kembali 3. Saat di pertandingan ping berubah-ubah 4. Hero susah di gerakin dan kadang suka gerak sendiri. Ternyata dari dulu sampai sekarang keluhan player tetap sama. Itu tandanya keluhan dan masalah² yg dialami setiap player tidak pernah diperbaiki. Menang kalah diatur system (dark system) Beginikah model game yg katanya punya player 1,5m. Ini Game dengan kualitas system, server dan jaringan paling jelek. Thank's",1. matchmaking seimbang 2. pertandingan jaringan suka menghubungkan 3. pertandingan ping berubah ubah 4. hero susah gerakin kadang suka gerak keluhan player tandanya keluhan masalah² yg dialami player diperbaiki menang kalah diatur system dark system model game yg player 1 5m game kualitas system server jaringan jelek thank s,negatif
Aditya Kurnia Leksono,28 November 2024,3,"Hallo moonton, saya hendak mengomentari terkait indikator afk, dimana seharusnya kalau indikator afk itu minimal ada batas minimal player tidak bergerak, contohnya 1-2 menit tidak bergerak baru bisa di bilang afk, tapi kalau sebelum 1-2 menit sudah bergerak, masa juga terindikasi afk.?, segera atasi!!!",hallo moonton mengomentari terkait indikator afk dimana indikator afk minimal batas minimal player bergerak contohnya 1 2 menit bergerak bilang afk 1 2 menit bergerak terindikasi afk atasi,netral
Rian,7 November 2024,1,Bintang 1 karena apa ya betul bug sudah merajalela banyak bug terutama di hp saya loading gak gerak padahal suara loading ada/selesai saya juga menggunakan hp lain untuk verifikasi bahwa game ini yang bug selain bug itu masih banyak lagi jaringan ping ijo tiba tiba ping merah (tidak stabil) saya nonton video 4k aja aman aman aja jaringan banyak sekali kekurangan di game ini lebih bagus di game sebelah HOK memori tidak terlalu berat jarang ada bug/pemakaian saya tidak ada bug trm ksh🙏,bintang 1 ya bug merajalela bug hp loading gak gerak suara loading selesai hp verifikasi game bug bug jaringan ping ijo ping merah stabil nonton video 4k aja aman aman aja jaringan kekurangan game bagus game sebelah hok memori berat jarang bug pemakaian bug trm ksh,negatif
Mulai Lagi,29 November 2024,2,"Cuma satu aja permintaan. Setelah poertandingan di temukan, kemjdian itu mau masuk, itu 30 detik kelamaan..!! Krn bahkan itupun 30 detik yg 10/10 ga ready semua, maka ulang lg mencari pertandingan . Kelamaan 30 detik. Buat jd 10-15 detik aja. Biar ga bosan nunggunya.. !! , kalau emang org org yg dlm pertandingan di temukan itu sudah ready. 5 detik di awal aja udah pada klik semua itu.!!",aja permintaan poertandingan temukan kemjdian masuk 30 detik .. krn itupun 30 detik yg 10 10 ga ready ulang lg mencari pertandingan 30 detik jd 10 15 detik aja biar ga bosan nunggunya .. emang org org yg dlm pertandingan temukan ready 5 detik aja udah klik,netral
Rudy Achmad,8 Desember 2024,5,"Saya pengen usul . 1. Masalah sinyal padahal sinyal wifi , data udah di idupin masih ngelag. 2. Masalah waktu saat pemilihan Hero setiap detik 15 detik saat rank pas lupa ganti emblem , maw ganti spell , detik 15 suka lag pdhal sinyal bagus . 3. Saat maw classic , sama juga detik 13 suka lag . Sinyal bagus masalah ram ok ga penuh2 amat . Segera cepat perbaiki , jangan sampai Masalah ini sampai ke pemain lain . 😡",pengen usul 1. sinyal sinyal wifi data udah idupin ngelag 2. pemilihan hero detik 15 detik rank pas lupa ganti emblem maw ganti spell detik 15 suka lag pdhal sinyal bagus 3. maw classic detik 13 suka lag sinyal bagus ram ok ga penuh2 cepat perbaiki pemain,negatif
Dead Ghos,30 November 2024,1,1. Jaringan sering lah padahal di buat YouTube Ama download game berat sinyal lancar tapi pas buat main ML lag! 2. Tim gak ada yang bener gameplay tim aneh padahal draf pick musuh jelek tapi bisa menang karena tim saya bermain dengan buruk!,1. jaringan youtube ama download game berat sinyal lancar pas main ml lag 2. tim gak bener gameplay tim aneh draf pick musuh jelek menang tim bermain buruk,negatif
nuzulul rizki,11 November 2024,1,"Setelah update kenapa lag trus, padahal sinyal bagus, device juga support, buat game lain lancar-lancar saja. Tapi buat main ini game ntah mode rank, classic atau brawl sering kali lag & patah-patah. Sekian tanpa terima kasih..",update lag trus sinyal bagus device support game lancar lancar main game ntah mode rank classic brawl kali lag patah patah sekian terima kasih ..,netral
Rafi Aditya Nugraha,6 Desember 2024,3,Moonton perbaiki ini game!!! Sumpah dah ini game sering nge bug nge bug sendiri. Keluar keluar sendiri. Pas aku nge pick hero malah ilang jaringan ku. Mending ini game gak usah banyak yang diperbagus agar kenyamanan dalam bermain dapat dipertahankan (kalo mau di perbagus perhatikan juga bug bug di game ini) soalnya saya mau push rank gak bisa bisa mohon diatasi lagi🙏,moonton perbaiki game sumpah dah game nge bug nge bug pas nge pick hero ilang jaringan ku mending game gak diperbagus kenyamanan bermain dipertahankan kalo perbagus perhatikan bug bug game push rank gak mohon diatasi,negatif
Andrea Hidayatullah,5 Desember 2024,1,"Makin kesini mobile legends makin parah. Jujur ya, pertama kali main game mobile legends tuh enak² aja. Hal yg perlu d perhatikan sbgai berikut: 1. Mengenai bug analog yg trkadang suka berhenti sndiri pas kita gerakin analognya 2. Masalah jaringan, perlu d perbaiki lg agar main lebih stabil. 3. Matchmaking yg makin membusuk. Tolong untuk matchmaking jg d perbaiki. Padahal sblmnya waktu ml jaman baheula matchmaking ga membusuk. Tolong di perbaiki segera!. Sekian terimakasih.",kesini mobile legends parah jujur ya kali main game mobile legends tuh enak² aja yg d perhatikan sbgai 1. bug analog yg trkadang suka berhenti sndiri pas gerakin analognya 2. jaringan d perbaiki lg main stabil 3. matchmaking yg membusuk tolong matchmaking jg d perbaiki sblmnya ml jaman baheula matchmaking ga membusuk tolong perbaiki sekian terimakasih,negatif
Raihan Raihan,1 Desember 2024,1,"Setiap main jaringan udh kenceng (pake data + wifi) tapi tiba2 jadi merah pas war, setelah mati baru hijau jaringannya. Entah ini emng disengaja sama moonton atau nggak tolong distabilkan dong jaringannya, apalagi kalo rank tiba2 gini! terus kalo ngelag kelamaan sama moonton dianggap afk dan yang kena kredit skor akhirnya gabisa main rank, game terburuk yg pernah ada!",main jaringan udh kenceng pake data wifi tiba2 merah pas war mati hijau jaringannya emng disengaja moonton nggak tolong distabilkan jaringannya kalo rank tiba2 gini kalo ngelag moonton dianggap afk kena kredit skor gabisa main rank game terburuk yg,negatif
MADE APEEE,13 November 2024,2,"Saya kasi bintang 2 aja, karena apa? Ya karena tim kita sama tim musuh jauh banget perbedaannya, kek gak seimbang gitu, jadi tolong lah, kalo kasi tim sama musuh yang seimbang jangan berat sebelah, sama jangan sengaja buat naik turun bintang di rank dengan tim yang gak jelas dan musuh yang hebat melebihi tim, jdi ubah lah, supaya seimbang dan tidak tegang bermain, lagi 1 moonton, kalo ngasi protection star yang wajar lah, apaan coba 45+5 lawackk, padahal udh main bener tpi malah di kasi sgtu 🤣L",kasi bintang 2 aja ya tim tim musuh banget perbedaannya kek gak seimbang gitu tolong kalo kasi tim musuh seimbang berat sebelah sengaja turun bintang rank tim gak musuh hebat melebihi tim jdi ubah seimbang tegang bermain 1 moonton kalo ngasi protection star wajar coba 45 5 lawackk udh main bener tpi kasi sgtu l,negatif
pern yaf,15 Desember 2024,1,"Pliss lah untuk koneksinya di perbaiki, ingat bro gak semua player memakai wi-fi yang ada juga memakai data... Aku asal melaporkan ini ke CS selalu berkata ""coba menggunakan dual signal"" Pliss aku juga tau soal itu tapi aku gaada wi-fi jadi tolong untuk jaringan nya diper bagus lagi",pliss koneksinya perbaiki bro gak player memakai wi fi memakai data ... melaporkan cs coba dual signal pliss tau gaada wi fi tolong jaringan nya diper bagus,netral
