name,date,star,comment
Iranada 77,4 November 2024,2,"Saya kecewa berat dgn moonton. Selalu dapet tim gk jelas sedangkan lawan selalu dpt yg pro,selalu lose streak,win pun jarang.Apalagi masalah sinyal nya, hero selalu gk ke kontrol padahal saat dilihat sinyal Saya bagus"" saja. Selalu mikir""paling ini cuma game doang gk papa lah lose streak"".Main ML buat hilangin stress ini malah buat tambah stress. Tolong di perbaiki agar orang yang bermain ML lebih nyaman. Jika kita berpaling ke game lain, jangan salahkan kami karena kami juga lelah,"
TMZ Chanel,25 November 2024,1,"Game gak jelas . Kebnyakan player tier tinggi tapi skill nya kek tier rendah , coba ubah lah system nya . Di ambil dari cara bermain player dan sandingkan team yang permainan nya juga sama , gimana orang mau terhibur dengab game , bukan malah terhibur tapi tambah stresss andai bisa ku kirim bukti bukti nya kewat foto ku tempel di sini . Ayok lah benerin system matching itu . Lama lama gua pindah game HOK juga woy."
Bujlep KS,11 November 2024,2,Benerin lagi serfernya jaringan bagus masa lag analog ga bisa di pencet apakah ada chit tambah ga jelas tiba kembali baru aja main ijin pindah monton bangasatt ajg
Heiner Ebenfp,20 November 2024,1,"Seru sih, tapi gk jelass, masa ketemu musuh pake hero yg sama lagi, menang 1×, kalah 5× sama musuh yg pake hero yg sama, contoh kalah pertama sama musuh hero nana, vexana, aamon, nanti pas main kalah lagi sama hero yg sama, heran ngebug kah?, atau gimana, kesel jadinya, buang buang waktu, padahal mau naikin rank, malah kalah 5×lebih, jadi turun"
CODE 016,22 September 2024,4,"Game yg cukup bagus menurut saya,kalian bisa belajar arti sebuah kekompakan tim untuk mencapai kemenangan dan apa itu kesabaran, walaupun banyak draksistem ,sekali kali kalian juga bisa bacotin tim sendiri buat yg mainnya tll"
Batista Kristiando,2 September 2024,1,"Selalu persoalan matchmaking yang ga seimbang, lu keluarin banyak skin baru, update data terus tampilan dll, tapi sistem matchmaking lu kagak di perbaikin, semua player butuh keseimbangan dalam game, bukan hanya tampilan visual doang yg bisa lu tampilin, tolong lah di perbaikin masalah ini"
imron Byson,30 November 2024,2,"Main mobile lagend makin parah dark sistemnya dikasik tim tolol terus jadi bikin males dan bosan main mobile lagendnya,kayak gak ada manfaatnya sekarang main game ini yg ada cuman bikin emosi"
rezafadilah hamzah,3 Desember 2024,1,Benerin dulu sistem nya game rusak Ketemu nya dark sistem terus tim nya lose treak terusss gara gara dark sistem main solo ketemu duo main solo ya solo lagii moonton GAME RUSAKK!!!
Viona Nusaviani,1 Desember 2024,4,Game nya bagus sih tapi yg paling jelek adalah ketika main rank cs dll itu mesti di kasih tim drak sistem mulu cape bgt lostrek mulu tolong kasih tim yang imbang sama musuh imbang pilssss😭
muzaky rendra,9 Desember 2024,1,"gamenya sudah bagus tapi tolong klo maen solo ketemu musuhnya juga harus solo ini ketemunya yang partyan mlu, apalah kena mute padahal cuma ngetik ""minta ajarin sm fny"" gjls bintang satu ls terus capek"
Supri Yadi,16 Desember 2024,5,"klu masih yg Kya dlu masih mending bisa menang ngk kebanyakan kalh TPI sekarang kebanyakan kalh? padahal ping aku 25ms sampai 45ms kq tetap ngk ada hasilnya sama sekali tau-tau gini mending install aja aplikasi nya cuma buangan"" waktu aja tolong lh moonton diperbaiki lagi..........? mask ram 8/256GB kq masih leg ini tepat ngk bisa masuk ke dalam game apa lagi eror ya dari tadi nungguin ngk masuk"" kurang lah min bug nya.?"
Farel Mas,1 Desember 2024,1,game moba ini sangat bagus dan banyak event² yang menarik jadi tunggu apa lagi ayo mainkan sekarang jangan sampai ketinggalan event bagus-bagus dan tur m6 lagi di adakan
Adora Exe,13 Oktober 2024,3,"bagus sih cuman paling kesel tuh pemilihan team nya sering bgt ak dapat team yang dark simtem terus klo lagi enak2 nya main tiba2 malah lag gk bisa jalan kadang gerak sendiri, padahal jaringan ak nya lancar tp knp bisa lag kan aneh😞😞 gara2 itu rank saya jadi turun drastis"
endang Ameame,6 Desember 2024,5,"Saya main dari jam 7 malem sampai jam 1 ketemu musuh yang ituh truss dan ketemu tim kaya bot, tolong pihak developer melegend perbaiki drak sistem nyaa saya gaakasns main sebelum di perbaiki"
Soulid Lesmana,5 Oktober 2024,1,"Matchmakingnya tolong diperbaiki. Perbedaan rank yang tidak seimbang. Dan masalah jaringan ngelag terus saat team fight, aneh update bukannya tambah bagus malah jelek. Gk ada perubahan, parahhhh"
Reynard Axelle,26 November 2024,1,game nya gj kalo ngasih tim ga imbang seperti role yang sma tapi tim musuh jauh berbeda semoga keluh kesah saya di baca dan tolong perhatian nya MOONTON
Muzakir Kc,2 Desember 2024,2,"Dear, moonton. Saya sangat senang bisa memainkan game ini, namu ada hal yang membuat saya tidak puas yaitu grafis dari map imperial yang tidak hd, dan size nya pun cuma 31 mb, hp saya bisa menggunakan grafis ultra tapi grafis map imperial masih tetap sama dengan high. Saya sudah berulang kali menghapus game dan menginstal ulang game, namun hasilnya tetap sama. Mohon perbaiki bug yang mengganggu seperti itu. Jika bug nya sudah di perbaiki, mungkin bisa saya kasih rating 5. Sekian, Muzakir"
ali hasan yahya,26 Oktober 2024,1,"Tolong hapus fitur chat di dalam gameplay. Quick chat saja sudah cukup. Karena fitur chat di dalam pertandingan. Selain tidak berguna, juga sangat mengganggu pengalaman bermain. Dan juga apakah game ini tidak ada niatan utk memperbaiki sistem matcmaking?!! Setidaknya pertahankan bintang bagi MVP dalam tim yang kalah tidak naik maupun turun."
Alif Ammar F,17 November 2024,2,"mohon diperbaiki bug nya kerena ada misi top up 11.11 untuk mendapatkan token gratis tidak berfungsi, saya melakukan top up lebih dari 200 diamond tetapi tidak mendapatkan toke. gratis, padahal minimum untuk mendapatkan token gratis adalah top up berapapun, mohon di tindak lanjuti SEGERA"
Ahmad Nuroni,15 November 2024,1,sistem nya aneh banget kalo main solo sukanya di kasih tim ga jelas jadi losetreak 5x abis tu di kasih misih bot aneh cape main dari jam 3 pagi sampe jam 7 malam bintang cmn naik 1 kalo ga turun 1
Su Arif,25 November 2024,5,"Dari gambar sudah bagus, dari fungsi agak terlihat banyak sekali kesan visual yang bisa menjadi suatu hal yang menurut saya itu banyak sekali kesannya, dari penggambaran suara hero dan lebih baik lagi efek yang sangat berpengaruh kalau untuk saya dari banyak semua sudah membuat saya merasa puas untuk permainan nya walaupun memang permainan itu pasti ada awal dan akhir dari permainan."
Sakti Wijaya,10 November 2024,5,"Seru game nya, yang belum pernah main boleh di coba irit banget makan kuota data nya Kalian gausah takut habis paketan deh di jamin irit baget"
Mas Feri,24 November 2024,1,Game kok aneh skin nya mahal kalo main tiba2 keluar sendiri terus dituduhkan AFK terus kalo masuk login lagi masuk ke pertandingan mya lama banget
Nanda Ramayani,4 November 2024,2,"Game apa ini ajg, bisa ngasih tim gk sih. Ya minimal setara lh, lo kira orang main biar apa. Buat ngisi waktu kosong kocak, buat ngehibur diri. Bukan bikin setres, lo kira game lu bagus bgt sampai ngasih tim gitu? Amit-amit. Grafik lo gk sebagus itu, animasi lo gak sebagus itu, skin nya gak sebagus itu. Lo kira event yang lo kasih keren? Lawak😂"
Mursidah Mama,26 November 2024,5,"Saya selama 12 tahun disini,saya sunguh menyukai dimulai dari grafik ,herorevam ,dll tetapi tolong diperbaiki lagi jika kalau ada kendala😎"
Robin,20 November 2024,1,"gw top up 500 lgsg di event 11.11 tgl 16 Sabtu kemarin, tpi kena bug yg dimna misi top up tsb gak kehitung oleh sistem. Sunggu merugikan!!!"
Andre Pandiangan,5 Desember 2024,1,Sudah gak enak kali game Baru mulai sudah kalah itu pun dapat tim gue dark sistem itu pun bukan 1 kali tapi setiap kali dapat dark sistem
Angeline Kabang,9 Oktober 2024,1,"kenapa gw kurangim bintangnya lagi karena sering bnget lag dari pemilihan hero sampai pertandingan, sehingga gw sering kena AFK. sinyal wifi dirumah lancar banget. dan juga sering force close pas lagi war. gimana mau main nyaman jika bug begini malah makin parah setiap ganti season. gw harap pihak montoon dapat segera perbaiki masalah ini. jika udah beres gw tambahkan bintangnya jadi 5."
Raden Hidayat,18 November 2024,1,"dulu bisa pake loading screen video skrng pelit amat jdi kepotong terus,dulu full juga bisa skrng dahlah kikir kikir,ga mentingin player bet"
Pengguna Google,29 November 2024,5,Game ini bagus banget aku udah epic tapi yang masih kecil jangan main mode rank karena kadang menang kadang kalah kalo mode offline enak banget karena main tanpa jaringan jadi untuk anak kecil jangan main mode rank
Sepシ,24 November 2024,1,"Tolong perbaiki masalah match yang tidak adil akibat Ke tidak seimbangnya tim musuh dan tim sendiri, sering tim sendiri lebih buruk performanya dari pada tim musuh."
Pengguna Google,6 Desember 2024,2,"Sekarang matchmaking nya jelek padahal udh rank lumayan tinggi tapi dapat tim banyak yang darksystem. Lag juga parah, jaringan saya lancar tapi kalo main ml tiba² jadi lag parah"
Arden Official,17 Desember 2024,1,Makin lama makin hancur ..Jaringan bagus ping nya ko naik turun ..utamakan performa jaringan di bagusin hp ram 12 masih Aja lag ...gak kaya tahun 2017 an lancar ...
Muhamadali Tunggal,8 Agustus 2024,1,"Percuma pembaharuan kalo cheat masih berkeliaran, sistem tidak stabil banyak bug dan lag sana-sini controller tidak stabil penargetan tidak sesuai, mlbb di update bukannya tambah bener malah bikin makin crush, beban nambah permasalahan di bug malah makin tambah beban buat pemain, sudah tidak praktis lagi. Tidak kaya dulu 5 THN belakang ini makin gak jelas, hp spek tinggi jg kga ngaruhnya game itu lancar."
Muhammad Hadzami,10 Desember 2024,1,"Saya beri bintang satu karna saya tidak di berikan kemenangan satu pun oleh moonton dan akun saya terkena dark sistem, jadi buat orang yang ngasih rating bintang lima plis kasih bintang satu aj klo anda kasih bintang lima saya akan mendoakan kepda yg memberi bintang lima semoga cepet meninggal dan mati kecelakaan jadi setelah ini saya akan hapus game ini dan tidak akan pernah bermain di game ini lagi"
Yana Tolol,16 Desember 2024,1,"saya sangat aneh pada game satu ini, sinyal internet saya lumayan kencang, tetapi sinyal saat di lobby maupun saat match tiba tiba menghilang"
Anscorpio Gaming,20 November 2024,4,"Game kikir, janji mau kasih kompensasi di tanggal 20-11-24 waktu server 00:00, tapi tetep aja gak dapet Kecewa banget, udah top up gede juga Kalo gak niat benerin bug mending gak usah kasih janji buat ngasih kompensasi."
Pendoh Toro,25 November 2024,5,"Tolong skin nya di kasih gratis ke orang yang baru bermain/akun baru🙏.tapi saya sangat puas dengan permainan ini,, walaupun skin–skin nya mahal–mahal."
ryanto muhammad,7 November 2024,1,"Season kali ini paling rusak. Makin sering top up malah dapat dark systemnya gak ngotak. Kapitalis kikir moonton. Ntah banyak jokinya apa memang sistemnya rusak, sampai mytic pun dapat player kayak epic."
paris Alfarrasya,9 Desember 2024,2,game kocak bisa bisanya gk bisa ngebedain mana orang yang cocok buat satu tim gk ush jadi developer game mana banyak bug nya lagi
Sholahuddin Halim,8 Desember 2024,5,Sistem nya sekarang makin aneh. Mohon untuk pihak moonton kurangi dong dark sistemnya. Dan perbaiki sistem. Tadi adanya bug dalam draf pick
Rani Nuraini,14 November 2024,1,"game nya pilih musuh gk ngotak semua, trus kalau dapat tim bot semua, trus juga ada yang ngetroll, tolong perbaiki dong montoon, kalau ada yg troll susband aja"
Agus Optik,7 Desember 2024,5,Aku suka game nya meskipun ada bug sih misalnya pas regen ada hero lawan yg nyerang malah gk ke regen tapi aku tetap suka sama ni game
Hamida Mid,3 Agustus 2024,4,"Suka nge lag gak jelas padahal jaringan ku udh bagus! Pas aku main game lain juga lancar² aja, cuman pas main ML doang nge lag nya...!! Kepada pihak developer mohon diperbaiki lagi untuk kedepannya. Padahal menurutku ini game tuh udh bagus, cuman minus nya ya itu tadi!"
Muhammad Kasyfi,26 November 2024,2,"gameya bagus cuman sayang ada bug yg sangat mengganggu. kesalahan itu menjadi hal yg fatal dalam pengalaman bermain😔. Harus seperti apa moonton, sudah saya laporkan tapi seperti tidak ada tindakan. apakah harus lewat rating aplikasi supaya bug nya dapat di fix kan?"
Rafa Aidilakbar,21 Oktober 2024,3,Kenapa gua kasih bintang 3 karna kesalahan kecil tapi pusing ya itu adalah gua mau ngecet temen pas lagi main di Reng nah pas gua udah keluar nah masuk lagi ke game nya tapi loading nya lama sumpah gua mau ngomentari ini karna ya itu loading nya lama sampi 97% ga naik naik yang lain nya 100%. Jadi saya mohon kepada pembuat Mobile Legends mohon di per baiki
Jonni Eduard Sihaloho,25 November 2024,3,"Game nya sih udh bagus,cuman kalo kasih match itu yg benerlah moonton,lawan tim GK adil banget masa temen gw main nya bodo sih?kadang2 juga jaringan tiba2 naik sendiri.udh segitu aj semoga dimengerti"
Good Job,6 November 2024,2,Update trus tp server tetap saja gangguan nya sering bgt. Nggak usah sering-sering update atau mungkin merilis hero-hero baru lah perbaiki dulu server. Kalau begini terus lama-lama nanti pindah ke game sebelah.
davit sihombing,13 Desember 2024,1,"Sebelumnya mohon maaf moonton saya kasih bintang 1 karna Dark Sistem game anda makin lama makin parah, saya sendiri merasakan tidak pernah mendapatkan tim sesuai ketika solo rank, kalo bisa saya minta tolong dark sistem nya di hapus, Jujur aja moonton Lama-lama banyak yang pindah game dan uninstall game anda, sekian dari saya terima kasih bnyk moonton🙏🙏🙏"
andi yani kurnia,1 Desember 2024,1,"Kenapa sistem muntun jelek banget sumpah buat solo player , setiap mau naik tier selalu di persulit/di bikin stuck . Kenapa begitu? Takut player solo berkembang? Jangan pengecut kalau buat sistem itu yg adil dong , yg menang ketemu yg menang yg kalah di pertemukan dengan yg kalah , punya match making buruk banget ini game gua yakin semua ngerasain hal yang sama mau gimana pun juga, entah party atau solo, Game Rusak !"
HILMY FITRA HARIYANSA,18 November 2024,5,"game tol** udh mah tim kaga bisa ngerti game nya musuh make apa dia make apa tolong moonton kasih team yang benar dong saya main 3 game kalah semua karna team tol**, g*bl*g yang kaga ngerti main tolong di ban kan mohon sangat ini saya kasih bintang 5 agar anda lihat sendiri dasar game kurang kompeten"
Caroline Angelica,10 November 2024,1,"heran kenapa sih monton sehari aja kasih menang 2 atau 3 kali, cape tau ga main ml udah carry game nya tapi tim nya ga mendukung, banyak juga bug, map hack,saya high rank nya honor, ketemu yang tim stack legend terus, ga adil bgt game nya, jadi berat sebelah kalau punya game di atur coba"
mahen drabin,19 November 2024,1,"Admin, tolong repair jaringan selalu lag dalam game. padahal main pubg mobile aman"" saja jaringan. Setelah update kemarin hari malah tambah lag"
Kota Cirebon,27 Agustus 2024,2,"Yang bikin kesal itu tiba2 sering terjadi lag, ping tiba2 drop jadi merah. Masa iya dari koneksi internet. Sudah coba jaringan sekelas Telkomsel sampai ke jaringan Wi-Fi. Al hasil masih sering terjadi lag. Tolong perhatikan sebagai developer, daripada saya harus kesal terus mending lama2 di uninstall dan kasih rate 1 bintang. (Itu lebih baik daripada pihak developer tidak ada perubahan)"
bakti ojan,15 Desember 2024,5,"Lose streak MVP tapi kalah. makanya banyak yang pindah HONOR OF KING, game nya makin berat + lag jaringan makin kacau + DARK SISTEM makin banyak di high tier"
Christian Parura,29 November 2024,1,Game gk jelas ngebug segala macam padahal jaringan ku gpp. Dapat tim musuh gampang ternyata tim gw mainnya kaya bot malah lebih gampang lagi
Jhonatan Harianja,16 Desember 2024,5,Game nya bagus banget ini sih game no 1 MOBA mobile yang gak bisa di saing oleh game MOBA mobile yang lainnya dengan event yang sangat menakjubkan membuat game ini sangat populer di seluruh negara
Rio Afriza,25 Oktober 2024,1,"Game yg dulu asik gak ada drag sist sekarang makin kesini makin banyak Player boot, drag sistem dimana"" Dikasih lawan yg gak seimbang pula.semakin kesini bukanya tambah bagus malah tambah hancur game. Kalok kek gini terus gak ada perubahan liat aja ML bakalan sepi gak ada yg mau main lagi karena isinya boot drag sistem semua percuma juga ngasih skin gratis tapi isinya drag sistem kami cari bintang bukan cari skin dapat drag sistem montotttttt"
David Richardo,3 Desember 2024,1,SOLO PLAYER SAMPAI MYTIC IMMORTAL PASTI PAHAM KALAU Semua Akun kita 99% lawannya AI alias Bot makanya Hero di tim lawan selalu di setting hebat-hebat sementara di tim kita semuanya coklat dan cuma saya sendiri yg MVP.. capek berjuang kalau ujung2nya DEFEAT.. bukan sekali dua kali tapi sudah ribuan kali..nampak kali settingan nya.. pantas saja peminatnya sudah sepi. Game sebelah lebih enak ngasih banyak skin dan Hero dan tidak terlalu di persulit seperti di game moba yang satu ini.
Farhan Mubarok,26 November 2024,3,"gw kasi b3 dulu soalnya gw kurang puas sama ni game, kemarin gw ketemu tuh ama player baru tapi udah mytic aja padahal match baru puluhan, dan karna gw males setim atau ditim lawan ada new player gitu plis moonton bikinin fitur biar kalo di tier tinggi lawannya ya juga tier yang sama kalo tier rendah lawan tier rendah, atau bisa sesuaiin ama matchnya misal kalo match gw ribuan ya setim ama yang matchnya ribuan biar lawan atau tim ga kesusahan ngadepin, kan ml itu 5vs5. plis Moonton jwb"
Alfaruzan,2 Desember 2024,1,"Tolong perbaiki sistem lag nya, maennya dah make wifi+data tetep aja, sinyal ijo di pencet sinyal nya juga ijo tapi pas lagi in game nya itu suka patah patah, kaya lag jaringannya padahal mah di jaringan nya warna ijo tapi giliran main itu patah patah mulu, bukan patah patah hp nya tapi jaringan nya. Tolong di perbaiki Moonton lag nya agar kami player bisa menikmati game nya dengan lancar🙏"
Jerikho Rumaketty,11 Oktober 2024,5,"Moonton tolong diperbaiki mode offline-nya dong terlebih mode AI. Biar di semua hp bisa dibuka moonton. Dan semua Hero ditampilkan dan bisa milih bebas, terus lawan computernya pun harus bisa menguasai roll-nya masing-masing junglernya pun harus bisa farming. Biar disaat kita tidak punya kuota kita bisa latihan moonton 🙏🙏"
Renzzz,9 Desember 2024,5,Gemenya bagus buat dimainin tapi sedikit saran buat di jaringannya padahal jaringan disini masih bagus dan lancar tapi pas main dapat ping merah dan mengganggu saat bermain
Fariz Alfarizki,9 November 2024,2,"Untuk gameplay dan grafik sudah bagus,bahkan bisa di bilang sangat bagus tetapi ada satu hal yaitu ketidakadilan di dalam game ini,yaitu kedua tim tidak seimbang,lawan terlalu kuat, tolongg perbaiki please"
Riyadl Barizi,28 November 2024,1,"Game rusak bikin emosi, benerin napa, setiap main dapat tim draksistem t0101 tapi dapat musuh kek penjoki dunia anjg, pindah game aja kalau gini, main game pou aja enak"
Tahta Sadewa Bagaskara Sangadji,21 September 2024,5,"Moonton game ini merupakan game terbaik sepanjang masa. Tetapi ada bug yang membuat saya bingung sinyal saya bagus tidak pernah jelek tapi tiba-tiba keluar/error tiba-tiba saya kena pelanggaran yang sangat berat. Moonton ada bug franco yang mungkin bagi player lain itu menguntungkan, tapi mohon diperbaiki karena bug franco itu bisa menyebabkan hooknya panjang melewati 2 turret dan menyebabkan hooknya menjadi 2 yang bisa menarik musuhnya 2 sekaligus. Itu saja, semangat Moonton sukses selalu🤗🤗🤗"
Rafly Mahardika,25 November 2024,3,Tolong untuk moonton baru main langsung dikasi lawan yang gak seimbang trus bug jaringan bagus tapi ngeleg untuk update nanti di perbaiki lagi Bug bug biar semua pemain nyaman
Farel Putra maulana,12 November 2024,5,"Woiii admin,,plisss lahh gw udah lama main ini.tolong ya kalau kasih tim itu yang sewajarnya jangan kasih tim yang beban sedangkan musuhnya kayak penjoki😡😡padahal mau naik ke rank selanjutnya selalu gitu dikasih tim aneh plisss lah moonton🙏🙏gw udah support lu udah lama.aku kasih bintang lima karena aku sangat suka dengan mlbb. Tolong ya admin plisss 🙏🙏🙏🙏🙏 Semoga dibaca"
d setiawan,13 November 2024,1,"Game bagus sih,cuma machmaking yang jelek/buruk doang.Buat developer tolong lahh, buat machmaking yang seimbang.masak gua dapet tim bot Mulu sihhh!!!"
Ali dan Diky,16 November 2024,1,"Moonton, sekali aja, jangan buat aku lose treak Mulu, kenapa kalau aku lose treak lagi aku, hapus ml pindah ke HOK, aja lah, biar gak nangis karena tim beban dan musuh pro, kalau di HOK tim nya, adil jadi mendingan lah, ml sekali rank kalah Mulu gak pernah menang, kalau begini terus, mending hapus aja, apk ml mu ya, bosan lihat dark system yg merajalela ini (menangis+pingsan)"
Tri Widata,23 Oktober 2024,1,"0d pihak moonton kenapa tiba""jaringannya jelek pas lagi pushrank nah padahal jaringannya g ada masalah normal terhubung buka aplikasi lain normal nah sedangkan mobile legend g bisa masuk tiba""offline padahal jaringannya terhubung ntar pas masuk lagi kena hukuman udah 2 kali gagal login dan g bisa masuk permainan gara""kebanyakan update parah"
Ryan Azyllan,14 Desember 2024,1,"Abis update terakhir gamenya mlah rusak, jaringan ngelag bgt gak kek biasanya, sorry mobile legend, mungkin udh waktunya pensiun, gamenya mlah rusak bukannya makin bner 🙏🙏🙏"
Irwan Saputra,16 September 2024,3,Saran ni monton tolong lah buat update berikutnya buatin sistem anti dark sistem. Kita para player mobile sejati ingin bermain game dengan tenang pikiran plong fun. Tapi kenyataannya game nya bikin sakit kepala menang 1 kali kalah nya lebih dari 1 kali kita main serius di gabung Ama yang maen ga serius alias (trol). Dh itu aja semoga di baca
Via Karisma,14 Desember 2024,5,Gamenya sangat bagus dan grafpicknya nyaman dilihat dan banyak bagi² hadiah gratis pada event² yg sedang berlangsung dan hero²nya kuat²
Hmm well,11 Desember 2024,4,"Knp 4 bukan 5? Karna banyak buanget anjir bucin di game ini trus kalo org yang high tier nya honor jgn dijadiin musuh kita,ga stabil soalnya match making nya"
Cyf Ndi,14 November 2024,1,"Sistem match nya tolong di benerin ketemu nya harus sesuai KDA/WR,itu harus agar Gameplay Adil karna ketika Main solo Saya merasa ini tidak adil karna temen satu tim nya terlalu egois dan bodoh 👎 Game ini sangatburuk karna tidak ada sistem pemilihan role di awal game tidak seperti game MOBA lainya,👎👎bintang 1 karna sistem match nya terlalu payah, Saya bermain 2017sampai sekarang dan merasakan Game ini sangat buruk untuk sistem match&role saya akan berhenti di tahun2024 ini karna saya kecewa."
Efri Ganteng,18 November 2024,1,"Oi montoon tolong lah itu bug² di perbaiki, merugikan banget sumpah, setiap event ada aja bugnya, nah sekarang ada event buat top up, tpi setelah top up kok gk jalan misi top upnya? Bug apalagi ini woi montoon, tolong lah di benerin bug2 kayak gitu, merugikan banget"
youtubel indo,5 Desember 2024,5,Mlbb adalah tempat membuat ku semngat dalam bermain terkadang daeksistem tidak mengalahkan tekadku untuk naik ke mytic Moonton tolong dong kasih gua skin change agar gua selalu bermain di mlbb.. Skinnya boleh kok yg basic ataupun skin elite
Daniel God,16 Desember 2024,1,"game ga jelas di kasih tim bot mulu gda yang setara sama musuh nya!!!!!, sistem apa ini hadeuhhh bikin stresss ajaaa !!!!!"
Riswan Khan,25 November 2024,2,Game nya bagus tapi bisa di perbaiki gak sistem nya suka tiba tiba logout gak bisa masuk permainan dan yg paling penting itu drak sistem nya kurangin lah monton itu fitur sangat tidak guna bagi player pemula karena bisa menghancurkan batin orang bisa membuat orang gila karena sistem mu monton jadi tololng hilangin drak sistem nya montonn
Sendy Google,2 Desember 2024,5,"To MLBB untuk hero badang kenapa sekarang damage nya kurang banget ya udah lategame ulti nya masih aja nggak sakit, Di tambah defend nya kurang terimakasih."
Hendri Wijaya,19 Oktober 2024,1,"Tolong di update lagi ya monton pas ktmu drak sistem bukan nya player nya mikir ini malah ngajak costum. Pas main costum tau"" dia jadi wasit. Gua lawan nya computer. Gua di paus terus co sampe GX bisa main 1hari gara"" kena costum di paus terus. Minimal bisa keluar lah co. Ini MH GX bisa keluar main GX bisa kena paus terus moonton oh moonton😤😤"
Anggita Kurniasari,25 Agustus 2024,1,"untuk developer tolong perbaiki sistem matchmaking, saya selalu mendapatkan tim yang tidak bisa bermain sementara musuh bisa bermain. saya lelah losetreak, mohon perbaiki lagi sistem matchmaking dan jaringannya, selalu saja tiba-tiba lag."
Sobirin Biren,20 November 2024,1,"Tolong event tiket yg 11.11 Nolan bugnya,,sudah top up tapi ngga bisa klaim tiket,, katanya ada kompensasi tapi 2 aku ngga dapet kompensasi sama sekali"
