name,date,star,comment
Muhib Al Hadits (I Can't stop twinkling),11 Januari 2025,4,"Setelah update terdapat banyak peningkatan seperti update grafis ultra untuk device low end, tetapi terdapat banyak drop fps bahkan dengan device saya yang mampu 80-90fps di settingan HDR pun sering mengalami drop fps hingga ke 25-30fps.mohon di perbaiki. Hal ini sangat mengganggu"
Euis Komariah,9 Januari 2025,5,"overall baguss, dari segi event, server dan lainnya. Cuma untuk matchmaking tolong disesuaikan lagi masa udh di tier diamond tapi mainnya pada gk bener semua. mainnya pada suka-suka. tolong banget diperbaiki lagi sistem matchmakingnya"
Lynnzi Ye Li (Li Lyn),10 Januari 2025,1,"Parah banget ini game Habis update sama ganti season masih banyak problem seperti mau ganti nama aja ada bug gak bisa di ganti, terus crash terjadi di play game membuat lag forclose Mulu saat rank tolonglah Tencent di perhatikan dan perbaiki lagi"
Frost pubg Pubg,13 Januari 2025,4,"Woi developer tolong lah update perbaikan sinyal,gw tiap main sinyal bagus buat buka game/aplikasi lain lah pas main game ini pas gak ada warna atau war lag nya gak ngotak sampai ping 300 tolonglah perbaikan sinyal buat game mu sebelum update yang ini aja masih lancar lah sekarang malah lag ngak ngotak"
x ᴊᴀᴄᴋ,10 Januari 2025,5,"Sangat kecewa. Match yg tidak stabil. Banyak sekali pelanggaran yg dilakunaT playernya. Ditambah pembagian damage, skill tiap hero serasa tidak seimbanglanya item kayak ga cukup menyeimbangkan. Damage yg terlalu bes n terlalu lama. Harus butuh di revamp skill2nya. Tidak merasakan kompetitif nya dalam pertandingan. Hanya bagus di grafik dan event gratis dan murah. Intinya sangat kecewa. Ucap player mole meler yang alergi stun & gak banyak berfikir asal satset gak mau tarik ulur, aowksowkalwllw"
ネCHIBAKUTENSEI,13 Januari 2025,3,"Tolong dong fps 30 (standar) stabil di 29-30fps, grafik rata kiri, ping stabil di 16-17ms...rasanya kayak di 300ms+ an, gerakin analog aja karakter heronya baru maju atau jalan setelah 5-7detikan, tolong di optimalkan lagi dan btw ini cuma di update baru ini, kalo sebelumnya sih ngga ada masalah apapun ya menurutku...kalo di pemain lain ngga tau yaa"
Wizzwill,11 Januari 2025,1,Makin rusak matchmaking yang gak adil selalu dapet tim beban gak bisa main!! Tolong lah dev filter tim matchmaking dibuat sesuai skor kemampuan dan skill pemain agar seimbang di mode ranked match!!! sama laporan bagi yang feed atau mencuri lane diperberat lagi hukumannya... kalo bisa tambahin fitur blacklist/blokir tanpa batas sekalian untuk player yang beban.. serasa 1 vs 9 gak ramah untuk solo...niatnya isi waktu luang buat have fun malah bikin emosi mainnya!🤦
Xenon ID,12 Januari 2025,3,"Tolong, perbaiki kembali di masalah jaringan. Karena saat melakukan aktivitas lain seperti nonton YouTube dan game lain jaringan tidak bermasalah (stabil) , kenapa saat main game ini aja ping jaringan langsung tinggi, saat dilakukan reload terjadi reload ulang."
Seprefano S Gogoan Gogoan,9 Januari 2025,3,"Game play nya bagus dan keren apa lagi bagi para peminat game MOBA seperti saya, namun kenapa mode gamenya mempengaruhi jaringan nya, seperti mode normal itu jaringannya hijau dan lancar, tapi kalo push rank kenapa jaringannya tidak stabil dan merah kuning trus, padahal kalo gw main di mode normal itu aman² aja. Udah pake apk game boster pun masih merah jaringannya kalo push rank. Padahal jaringan wifi ku lancar² saja"
Hamid Lohani,9 Januari 2025,1,"Setelah update perangkat sudah tidak mendukung grafik Ultra, jangankan ultra, grafik tinggi saja perangkat sudah tidak Mendukung. Update yang bikin pemain malas untuk bermain dan update yang bikin kurang pemain."
dyah retno,9 Januari 2025,5,"Gamenya seru banget, banyak mini games juga, grafik gamenya juga bagus banget, terus nggk rebutan Role. intinya serulah main ini. Tapi minta tolong kurangi lah Lose Steaknya sama minta tolong ada sistem kalo hero baru nyoba jangan dipake di Rank!! 😉"
You Sube,9 Januari 2025,1,"Banyak banget player negatif, udh sampe GM b40 aja, masih ada aja player yang kaya gak tau main, rotasinya jelek, afk, gak mau kerja sama tim... tolong benerin match making nya lagi donk.. rasanya kalau dapet tim tuh gak seimbang banget di season ini, season kemaren masih enak kok. Pas season 7 ini malah gak ada otak... sekalinya main, di kasih beban langsung 3 player, 2 v 5 emank adil?"
Gamer Gila,9 Januari 2025,1,"gak stabil banget, ngelagnya 5 detik errornya bermenit², giliran relog langsung 2× loading screen, loading yang ke 2 leletnya setengah mati, bener² gak jelass cape banget afk terus padahal test jaringan dapet 20an, apa gunanya itu kalo cuman jadi pajangan doang, buat balik ke game aja gak bisa bahkan lag sedikit langsung error bermenit² sampe akhir, aneh banget, benerin dong pliss gak nyaman banget sumpah"
Dian Novian,9 Januari 2025,5,"Game yang sudah bagus dan sudah di perbaiki. Tapi tolong harus di antisipasi setiap player yang ingin troll dan setiap mau matchmaking pemilihan hero sampai 2 menit tolong di percepat, lalu setiap tolong jangan berikan saya satu tim yang bodoh dan tolol yg tidak mengerti main. Berikan lah tim yg seimbang agar game jadi menarik dan tidak membuat para pemainnya emosi"
Mohammad Fauzan,9 Januari 2025,5,"Aku mau memberi ulasan dan pendapat,semoga untuk kedepannya game HONOR OF KINGS untuk karakter²nya gerakannya,cara kontrolnya,bassic attack,skil²nya di leluasain lagi ya,biar kayak game sebelah,untuk game ini udah OKE kok menurut ku,udah bagus banget tapi menurutku cuma itu kekurangannya🙏.. MAKASIH DEVELOPER"
Muiz Wildan,12 Januari 2025,5,"Tolong untuk optimisasi gamenya lebih di tingkatkan lagi terkhususnya untuk device entry level, walaupun saya sudah memakai settingan rekomendasi, sering terjadi frame drop saat nge war sampai 20 fps, umur akun HOK saya sudah hampir 2 tahun karena saya sudah bermain sebelum liris global, sayang banget kalau pensi, karena keterbatasan device."
Ryuu,7 Januari 2025,3,"Sebenrnya kurangnya game ini tuh di machmaking nya. Gatau kenapa setiap clasic musuh lembek banget, too easy. Tapi giliran rank, musuh bener"" ga sebanding sama teammate yang asal"" an pick hero, mati terus, buta map, bener"" ngasal mainnya. Dibenerin lagi sistem matchmakingnya. Gameplay aman asal punya ram + memo gede, sinyak jg selalu bagus kok."
sakkot silalahi,7 Januari 2025,1,"Game apaaan ini ,kebanyakan bug nya,pergerakan lambat.Awal main bagus,tiba"" duel jaringan nya lemot tiba"",apakah disengaja?? Saya dilaporkan dengan pengurangan nilai,tapi semua gara"" jaringan tiba"" ngeleg.Emang developer tidak bisa melihat apakah pemain gangguan internetnya terganggu. Kalau gini mah tunggu waktunya unisstall aja. Kalau saing Ama MOBILE LEGEND. Saya sudah unisstall game yg bugnya parah kali. Salam Tinggal honor of king."
Kayka Layka,6 Januari 2025,4,"Secara keseluruhan gamenya bagus, nggak bikin bosen kalau main game ini, evennya juga menarik, grafiknya sangat bagus. Cuma kadang dapet tim yang kurang hebat kalau lagi main, trus ada yang melanggar lane, padalah sudah ditentukan oleh sistem kalau akan mendapat lane ini. Sebagai contoh seperti, pemain 1 mendapat sebagai roam, tetapi ia menggunakan hero luban no.7 yang dimana luban no.7 adalah hero farm lane, dan itu sangat merugikan pemain yang sudah menggunakan hero berdasarkan suruhan sistem."
FX Badut,8 Januari 2025,1,"Game dah mulai gila, dah mulai gak kuat di hp lag nya parah disebabkan banyak animasi yang game semakin berat! Semoga bisa diperbaiki dan dilirik!!!. Tolong diperbaiki jaringannya dah kaga karuan pake WiFi sinyalnya 320 Kbps dah full masih aja ngelag jaringan sempat kuning sama merah lagi padahal sinyal WiFi full. Gimana sih,ini namanya kek game sebelah masalahnya kaga pernah diatasi"
Blusukan Wengi Official,4 Januari 2025,1,"Sekali lagi tolong perbaiki dalam hal matchmaking, game aneh, terlalu mudah untuk mode normal, tapi solo rank selalu dapat team nooob, asal pilih Hero, tolong diperbaiki, jangan asal beri masukkan bila ada yang mengeluh, tapi diperbaiki, dalam pemilihan server mungkin yang jadi problem, dan game juga masih banyak bug"
Achnaf tv,22 Desember 2024,1,"Dalam hal update, sudah cukup bagus, tapi dalam hal in game kalian kok bisa ya fps drop, jaringan tiba tiba merah (ping tinggi sampai 400) padahal di jaringan itu sudah double WiFi+4G dengan jaringan double, dan dalam hal fps drop saya periksa juga batrei masih 50% ke atas dan tidak ada mode hemat baterai, dan ada berapa kali saya main terdapat force close, ""menyambung ke server"" tapi setelah itu malah keluar sendiri, Tampa ada riwayat matching, gimana ini... Tolong di benahi dulu server mu itu."
Himeko,20 Desember 2024,3,"Game ini grafisnya keren dan hero-nya banyak, jadi seru buat dimainkan. Tapi sistem matchmaking-nya aneh banget, sering ketemu lawan yang terlalu kuat atau tim yang kurang kompeten. Bikin main jadi kurang seru. Selain itu, sering terjadi lag, padahal perangkat sudah spek tinggi. Semoga developer segera memperbaiki matchmaking dan optimisasi supaya pengalaman bermain jadi lebih nyaman. Kalau masalah ini diperbaiki, pasti bakal lebih bagus. Untuk sekarang, 3 bintang dulu."
Lukman Setiawan,17 Desember 2024,1,"Tolonglah, jaringan diperbaiki udah pake wifi juga ujung-ujungnya tetep lag pas di awal, sejak diperbarui. Dan di menit 8 lancar di game buat apa!? Ga masalah kalau sekali tapi, ini setiap bermain harus nunggu menit 8? Lebih baik, mundurin aja versinya kalau begini terus."
Anti War,20 Desember 2024,1,"Bug mu banyak wahai developer. Di atas 7 menit fps mu drop. Jaringan hp full dan baterai masih di atas 50%. Waktu main patah-patah ngga jelas. Perbaikin dulu tuh. Malu noh sama Mobile Legend yang walaupun hp panas, baterai low di bawah 30% sekalipun, dan jaringan sisa 2 batang signal aja masih bisa dimainkan tanpa lag berarti. Lah ini game baru mulai terkenal yang kata iklannya lebih bagus dari berbagai segi ternyata banyak masalah. Ga ada bagusnya fps dan ping mu itu. Updatenya kurang bermutu."
Fadlan Panjalu,30 Desember 2024,1,"Makin kesini Game nya makin banyak bug nya,gerak Nya berat .dan banyak dark sistem Nya pula..sangat Mengecewakan sekali,push RANK aja dapat tim nya gak seimbang terus,yg ada RANK aja makin turun..match making gak bagus,dalam game banyak mendadak lag gak bisa gerak..awal main enak..1-2 bln,makin kesini makin gak jelas game nya..banyak bug yg sangat mengganggu dan sangat merugikan"
darma nur alif,28 Desember 2024,2,"Bagus secara gameplay, tpi banyak event yang kadang kadang masih terlihat bug dan tidak stabil Kemudian, pada saat mode ranked maupun normal 5vs 5, pengelolaan player solo masih terlihat kurang bagus , karena sistem tidak memilih secara merata, sehingga banyak terjadi player feeder yang tidak dihukum secara tegas oleh sistem setelah permainan."
Jean Kuma,18 Desember 2024,2,"Teruntuk developer, tolong perhatikan dalam pemilihan tim. Baik rekan maupun musuh. Bermain sendiri cukup berat di sini dengan mendapatkan rekan tim yang buruk sedangkan tim musuh begitu kuat. Berbagai karakter dan item sudah digunakan, tapi tetap saja berat. Ini semua sebab pembagian tim yang tidak seimbang. Sekali lagi harap perhatikan hal ini."
Mochamad Arfi,27 Desember 2024,2,"Apasih lagi enak² main jaringan nya selalu ngeleg,kalo buka event selalu keluar sendiri tolong lah perbaiki,kalo event² nya sih bagus tapi itu kalo mau buka selalu keluar sendiri,jadi mohon perbaiki kerusakan² yang ada didalam game nya,agar yang main tidak beralih ke game sebelah🙏🙏"
Melani Wahyudi,27 Desember 2024,1,"Game MOBA yang aneh... Gimana rank mau naik kalau selalu ketemu dark system', pengaturan main yang terlalu rapi untuk bisa naik ke rank yg lebih tinggi, game yang terlalu susah di dalam solo rank, & terlalu mudah di dalam permainan klasik / normal... Untuk grafik ok... Untuk pertarungan rank mobile legend yang ok...."
Wafiq Azizah,2 Januari 2025,1,"Gimana sih padahal jaringan bagus kok sering lag?? Padahal pake grafik yang paling rendah juga masih lag, oarah memang. Gara gara itu dibilang afk terus dihukum. Belum lagi banyak player yang gak jelas mainnya, padahal udah berusaha buat menang eh malah ngetroll"
Maymel kiel,31 Desember 2024,1,"Teruntuk developer ini game dengan keseimbangan yang paling jelek dan sampah, mohon matchmaking diseimbangkan, dalam 10 match terakhir hanya 3 menang dikarenakan banyaknya bot dan player troll. Yang anehnya selalu dalam tim sendiri sedangkan tim lawan tidak, mohon diperbaiki jika bisa beri hukuman paling berat seperti ban akun. Terima kasih."
"Nanda tresna, juniawan",9 Januari 2025,2,"setelah update sizenya jadi 10 GB anjir, yng tadinya cuma 5 GB 1/2 grafik ke 2 standar Lo itu, ngapa jadi 2 kali lipet sizenya dah, nge bugg apa gimana si, mana sinyalnya sering merah pas udah update, parahnya ga bisa gerak, pas udeh merah, yang bener aje game MOBA 10 GB grafik standar, apalagi yang ultra HD gimana dah, kecilin sizenya Lah, ya walaupun hp gw penyimpanannya 256 GB masih lega, tapi ga pantes aje game MOBA 10 GB anjirr, parah dah, game sebelah aje ga sgitu sizenya ..."
Farhan Irva Muzaky,13 Januari 2025,4,"ni game sebenarnya bagus cuman gak ""balance"" aja, yang sekalinya kena skill langsung sekarat padahal baru early game,beberapa hero tu kadang damage nya ga ngotak,terus stun di game nya tu lama banget,skill juga pas dipencet kadang delay"
Elias Siregar,9 Januari 2025,5,Game nya balance tidak berat sebelah. Perbedaan level dan gold tidak langsung jadi titik banding antar kedua tim. Kurangnya di sistem match yang aneh dan sering tim yang jelek sedangkan musuh jago
Nolep Gaming,9 Januari 2025,1,"volume""never surrender...."" terlalu besar ,mengagetkan orang disekitar saat ingin login ,kenapa pas mau masuk game tombol volume tidak bisa digunakan,bisa digunakan hanya sesudah terdengar never surrender"
Dio Darma,20 Desember 2024,2,"Pernah download nih game, tapi ada kejadian yang membuat saya hapus nih game, niat saya ingin bermain kembali tapi tetep saja dengan alasan sama, Ngeleg, tolong lah di perbaiki, bagus memanjakan player dengan skin2 gratis yang bagus+banyak, tapi misal di dalam game Ngeleg ya percuma juga main jadi tidak Nyaman, sering2 emosi gegara fps drop Tiba-tiba, padahal pake wifi tetep saja Ngeleg, tolong di perbaiki dengan masalah 'JARINGAN' untuk event dan yang lain udah bagus."
Kay Ryuncinmaru,28 Desember 2024,1,"Sistem pemilihan matchmaking jelek, udah gitu lama. Dark systemnya lebih jelek dr game sebelah padahal ini masih low tier. Pembagian timnya gak seimbang, di tim musuh kadang ngasihnya yg jago dan ngerti main sedangkan tim sendiri mainnya noob parah suka blunder/maju sendiri. Kecewa sm game ini, aku kira bkln better dr game sebelah ternyata jauh lebih buruk. Menang di grafis sama giveaway skinnya doang, sisanya ampas."
Fardan Fakhry,7 Januari 2025,1,"Matchmaking terlalu nggak seimbang, contohnya terlalu sering dapat tim feeder terus, walaupun solo yakali kalah sampai 50 kali. Entah timnya gajelah, buff lvl 1 dah diambil, giliran suruh kumpul malah mencar2. Sudah mencoba untuk pindah berbagai role tapi masih sama saja hasilnya, bahkan sebelum matchmaking dimulai sudah melakukan pelanggaran lebih dulu yang mana sangat merugikan tim. Kedepannya mungkin bisa dibuat tindakan lebih lanjut untuk membuat para tukang troll jera"
Lee Yoon,25 Desember 2024,2,"Sya nyoba game ini krna sedikit bosan dgn game sebelah, dan setelah sya memainkan gamenya beberapa kali(bukan cuma 1 atau 2 match doang, tpi udah 3 hari) sya merasa cpet banget bosan sama gameplay-nya.Kyak yg menang tuh tegantung yg bikin inisiasi duluan. yg awalnya kalah bsa jdi menang dan sebaliknya. Kyak booring banget gitu... Terkadang skill hero²nya ga cocok ama rolenya, dan sya mau counter item musuh itu susah karna g ada perbedaan warna teks damage physic & magic krn sya msih player baru."
sandi marley,1 Januari 2025,1,"Game apa ini Ini game tempat kumpulnya orang ga bisa main, buta map, mukil, dapet team kok ga pernah ada yang bagus Heronya banyak skill yang ga guna Setelah banyak yang komplain matchmaking tidak imbang, sampai saat ini masih tidak ada perubahan. Mungkin karena peminat game ini rendah, terlalu banyak bot. Tier tinggi masih terlalu sering dapat teman team yang tidak bisa main. Kalau seperti ini terus mana mau bisa berkembang dan banyak peminat 100 persen jelek"
RestuIJ Chaenel,10 Januari 2025,1,"Game nya bagus ,tapi pas udah update suka ngebag pas game mau mulai dan udah selesai suka ngestak diem nggk bisa di apain,,jadi bikin kita jadi afk padahal itu gara gara bagnya ,,,tolong lah di perbaiki sama animasi UI nggk terlalu penting ,,buat berat aja mending hapus"
revan,9 Januari 2025,5,"Gameplay nya bagus tapi ada yang perlu di sesuaikan di sistem match nya,terkadang saya mendapatkan tim yang sangat jelek/tidak kompak dan musuh yang sangat jago,itu membuat pertandingan nya sangat tidak seimbang jadi tolong di perbaiki."
DHYRROT GLOBAL,9 Januari 2025,5,"game nya asik dan seru, hanya aja ada saran dari saya tolong perbaiki bug disaat lagi war tiba"" slow padahal grafik yg bukan hd, atasi dong hal itu karena setiap war pasti bug dan sulit untuk bermain bebas. terimakasih"
puji pratiwi,25 Desember 2024,1,"Well lumayan bagus sih tapi di in game pingnya perlu diperbaiki tiap berapa detik sekali selalu drop pingnya, dan timnya sih bener2 ga seimbang, yg bener aja masa tier udah master tapi selalu dapet tim bot tier bawah dan ga bisa maen, sistem ban di rank perlu di tambah kalo masing2 cuma dapet dua buat ban masih kurang banget"
Rayl Shouji (Rayl),4 Januari 2025,1,"Tolonglah min, benerin Matchmaking nya, saya selalu dapat tim yang nyusahin banget, biasanya tim yang saya dapatkan gak mau pick Hero yang sesuai lane yang didapat, terkadang juga dapat musuh yang ga seimbang saat itu juga, vibes nya kayak 1 vs 5. Tolonglah min, jangan mikirin skin, skin, dan skin doang mikirin keluh kesah playernya juga dong!!!!"
Beting92,9 Januari 2025,5,"Game yang sangat baik, developer senantiasa memberikan event-event yang menarik, skin-skin gratis yg nilai nya sangat baik, tapi untuk developer server global ada baik nya untuk menambahkan sistem kick player in match seperti di server china sana, untuk mengurangi player-player yang main asal-asalan."
adham rizqin setiawan,13 Januari 2025,1,"Game kocak, banyak dark sistem ,player nya banyak yang suka ngetroll ,niat main game ini biar engga emosi,malah makin emosi lebih buruk dari game sebelah lagi dark sistemnya , tolong lah kalo banyak player kaya dark sistem tuh di tindak tegas ,saya sebagai solo player sangat terbebani, tolong lah ini gimana sistem draf pick nya masa iya dari 10 pertandingan saya ketemu dark sistem 8 kali? Lucu emang game kocak #BUKAN GAME UNTUK SOLO PLAYER"
Money D Lucianne,13 Desember 2024,1,"Ni game kok aneh bgt si.Udah lah sering eror,loading screen lama,loading unduhan lama,terus sistem matching nya gajelas dan ampas banget.Sering banget gue ketemu musuh kaya anomali,apalagi baru-baru ini gue nemu musuh yang main kaya map hack. Kecewa gue sama ni game.Gue udah dukung buat bersaing sama moba sebelah tapi ternyata game nya ga lebih baik,malah lebih ampas,yang sebelah pelit,tapi overall masih lebih unggul. Bye HOK sorry to say,but you are the LOSER."
sayran gaming,20 Desember 2024,1,"Terlalu buruk untuk di mainkan,pemilihan musuh dan tim terlalu tidak adil.saya meninggalkan pekerjaan saya dan mulai bermain,tapi ini terlalu buruk.banyak pemain yang tidak serius,sengaja mengalah dan itu membuat saya harus turun rank sebanyak 20x.kalian memberikanku tim yang bermasalah dan musuh yang kuat.maaf saya tidak bisa bermain lagi."
Xero Hunter,11 Desember 2024,1,"Kenapa selalu ""Upaya Menghubungkan Kembali Otomatis"" padahal jaringan bagus"" aja. Data udah 94% beberapa mode emang ga full download karna pasti ga bakal dimainin. Jaringan bagus"" aja storage? Masih ada tuh 90-an gb. Jaringan stabil, sambil Maen game Laen juga bisa. Tlng maintenance nya diperbaiki lagi min kualitas-nya."
Hd Lima,23 November 2024,2,"Ini game suka gak masuk akal , Terkadang damagenya gak ngotak walaupun masih level awal dan gold musuh cepat sekali banyak padahal masih level awal juga ditambah musuh suka muncul tiba-tiba didepan kita (padahal udah liat mini map) tapi gak keliatan , ditambah match matching sangat buruk . ( Kebanyakan drak sistem )"
Bachris Soax,11 Desember 2024,1,"Tolong diperbaiki terutama pada analog. kenapa sering terjadi bug pada saat match. Pada saat roam lancar tapi pada saat war tiba-tiba lag macet bug terjadi dan setelah bag selesai hero kita langsung mati, padahal jaringan tidak bermasalah tapi masih saja bug lag sangat menggangu dalam match. Apalagi kalau mode ranked."
Mohammad Rafinoor Munggaran,18 November 2024,1,"Match yang amat sangat tidak seimbang, sering kali menadapat tim asal pick hero dan buta map sedangkan musuhnya jago luar biasa, kalo seandainya match nya disesuaikan dengan kemampuan player atau tim. Berarti, itu ada tidak benar karena komposisi tidak seimbang yang mana tim player isinya orang random yg tidak bisa main dan tim lawan isinya orang yg bisa main. Kadang juga sering terjadi ketika sedang solo match bertemu lawan yang full team 5 orang, yg menyebabkan match tidak seimbang"
MR. X,20 November 2024,2,"Matchmaking tolong di benerin lah masa main solo GM ketemu tim master dan diamond kalo punya WR bagus sih masih mending lah ini Mainnya bener-bener kayak pemula. Dan soal report ini yang paling parah, udah jelas-jelas ada yang mencuri lane sama ada yang nge feed musuh udah 12 kali mati dan poinnya pun 4.6 tapi masih gak bisa direport haduhh kebangetan sih ini. Sering ping padahal sinyal bagus parahnya itu pas lagi war tiba-tiba gak bisa gerak dan pas mati baru sinyal nya bagus lagi!"
Ferry Yatiman,6 Desember 2024,1,"Setelah bermain lebih dari 3 bulan, ternyata game ini tidak jauh berbeda dengan MOBA sebelah. Sistem pembagian timnya sangat buruk. Yang gua maksud bukan soal player dark system,"" tetapi sistemnya sendiri yang terasa asal-asalan dalam membagi tim. Seolah-olah yang penting hanya matching cepat, tanpa mempertimbangkan perbedaan skill antar pemain yang jelas-jelas terlalu jauh. Jujur, saya benar-benar tidak mengerti kenapa bisa seperti ini."
Fandi Permana Putra,25 November 2024,2,"Game keren. Skinnya juga banyak dan murah. Cuma ada kendala di device aja sih saya pakek hp lumayan mid atau bahkan low untuk jaman skrg. Sehingga, untuk fps lumayan drop hanya bisa di standar saja (60fps) itupun tidak bisa stabil. Untuk gameplay lumayan oke masih playable. Tambahan, yang paling jeleknya dari nih game adalah matchmakingnya. Bener bener gk seimbang. Menang antara bantai bantai atau terbantai dah itu aja."
Nice 01,9 Januari 2025,4,"tambahan untuk developers, pertama, UI untuk ban/pick serta item terlihat jadul. klo bisa ban section ditambah lah, hero nya udah banyak kok bisa yang di ban cuma 2 per tim. kedua, tower dan crystal nya tidak ada damage, kalau musuh banyak hero tebal atau build tank-semi tank. mereka bisa dive in ke tower/crystal dan masih bisa selamat meski terkena serangan tower/crystal dengan durasi yang lama. ini tidak adil."
Hillary,9 Januari 2025,5,"Gamenya sudah bagus cepat gak pake lama menunggu pencarian lawannya terus kalau bisa hitungan habis Matchnya dipercepat tidak usah pake loading lama,dan kartu proteksi bintang Tiernya betul-betul berfungsi, kalau tidak berfungsi tidak usah ada di Inventaris, karena hanya jadi harapan kosong.Terima Kasih"
Salman Huda,6 Desember 2024,5,"Untuk developer terhormat. Level infinite,Timi, Tencent. Tolong perbaiki matchmaking nya. Terlalu banyak bot. Aneh nya bot nya itu selalu berada di tim sendiri,dan tier nya rendah. Sedangkan tim musuh berada di tier atas. Mengakibatkan match tidak seimbang. Jadi mohon perhatian nya. Untuk keseluruhan game nya bagus,cuma itu saja yang perlu di perhatikan/diperbaiki. Sekian terimakasih 🙏"
Yuzu,12 Januari 2025,5,"gamenya bagus, lumayan lancar di HP kentang yang ram 2GB . Tpi kenapa pas saya make hero Mayene di mode offline kok gabisa? semua tim jadi hilang masa jdnya 1vs1 , tpi klo mayene nya di tim saya itu jdinya 2vs0 ? itu kenapa ya?"
