name,date,star,comment,comment_prep
Lynnzi Ye Li (Li Lyn),10 Januari 2025,1,"Parah banget ini game Habis update sama ganti season masih banyak problem seperti mau ganti nama aja ada bug gak bisa di ganti, terus crash terjadi di play game membuat lag forclose Mulu saat rank tolonglah Tencent di perhatikan dan perbaiki lagi",parah banget game habis update ganti season problem ganti nama bug ganti crash play game lag forclose mulu rank tolonglah tencent perhatikan perbaiki
Frost pubg Pubg,13 Januari 2025,4,"Woi developer tolong lah update perbaikan sinyal,gw tiap main sinyal bagus buat buka game/aplikasi lain lah pas main game ini pas gak ada warna atau war lag nya gak ngotak sampai ping 300 tolonglah perbaikan sinyal buat game mu sebelum update yang ini aja masih lancar lah sekarang malah lag ngak ngotak",woi developer tolong update perbaikan sinyal gw main sinyal bagus buka game aplikasi pas main game pas warna war lag ngotak ping 300 tolonglah perbaikan sinyal game mu update lancar lag ngak ngotak
x ᴊᴀᴄᴋ,10 Januari 2025,5,"Sangat kecewa. Match yg tidak stabil. Banyak sekali pelanggaran yg dilakunaT playernya. Ditambah pembagian damage, skill tiap hero serasa tidak seimbanglanya item kayak ga cukup menyeimbangkan. Damage yg terlalu bes n terlalu lama. Harus butuh di revamp skill2nya. Tidak merasakan kompetitif nya dalam pertandingan. Hanya bagus di grafik dan event gratis dan murah. Intinya sangat kecewa. Ucap player mole meler yang alergi stun & gak banyak berfikir asal satset gak mau tarik ulur, aowksowkalwllw",kecewa match stabil pelanggaran dilakunat playernya ditambah pembagian damage skill hero serasa seimbanglanya item kayak menyeimbangkan damage bes n butuh revamp skill2nya merasakan kompetitif pertandingan bagus grafik event gratis murah intinya kecewa player mole meler alergi stun berfikir satset tarik ulur aowksowkalwllw
ネCHIBAKUTENSEI,13 Januari 2025,3,"Tolong dong fps 30 (standar) stabil di 29-30fps, grafik rata kiri, ping stabil di 16-17ms...rasanya kayak di 300ms+ an, gerakin analog aja karakter heronya baru maju atau jalan setelah 5-7detikan, tolong di optimalkan lagi dan btw ini cuma di update baru ini, kalo sebelumnya sih ngga ada masalah apapun ya menurutku...kalo di pemain lain ngga tau yaa",tolong fps 30 standar stabil 29 30fps grafik kiri ping stabil 16 17ms ... kayak 300ms an gerakin analog karakter heronya maju jalan 5 7detikan tolong optimalkan btw update kalo sih ngga apapun menurutku ... kalo pemain ngga tau yaa
Wizzwill,11 Januari 2025,1,Makin rusak matchmaking yang gak adil selalu dapet tim beban gak bisa main!! Tolong lah dev filter tim matchmaking dibuat sesuai skor kemampuan dan skill pemain agar seimbang di mode ranked match!!! sama laporan bagi yang feed atau mencuri lane diperberat lagi hukumannya... kalo bisa tambahin fitur blacklist/blokir tanpa batas sekalian untuk player yang beban.. serasa 1 vs 9 gak ramah untuk solo...niatnya isi waktu luang buat have fun malah bikin emosi mainnya!🤦,rusak matchmaking adil dapet tim beban main tolong dev filter tim matchmaking sesuai skor kemampuan skill pemain seimbang mode ranked match laporan feed mencuri lane diperberat hukumannya ... kalo tambahin fitur blacklist blokir batas player beban .. serasa 1 vs 9 ramah solo ... niatnya isi luang have fun bikin emosi mainnya
Xenon ID,12 Januari 2025,3,"Tolong, perbaiki kembali di masalah jaringan. Karena saat melakukan aktivitas lain seperti nonton YouTube dan game lain jaringan tidak bermasalah (stabil) , kenapa saat main game ini aja ping jaringan langsung tinggi, saat dilakukan reload terjadi reload ulang.",tolong perbaiki jaringan aktivitas nonton youtube game jaringan bermasalah stabil main game ping jaringan langsung reload reload ulang
Seprefano S Gogoan Gogoan,9 Januari 2025,3,"Game play nya bagus dan keren apa lagi bagi para peminat game MOBA seperti saya, namun kenapa mode gamenya mempengaruhi jaringan nya, seperti mode normal itu jaringannya hijau dan lancar, tapi kalo push rank kenapa jaringannya tidak stabil dan merah kuning trus, padahal kalo gw main di mode normal itu aman² aja. Udah pake apk game boster pun masih merah jaringannya kalo push rank. Padahal jaringan wifi ku lancar² saja",game play bagus keren peminat game moba mode gamenya mempengaruhi jaringan mode normal jaringannya hijau lancar kalo push rank jaringannya stabil merah kuning trus kalo gw main mode normal aman² udah pake apk game boster merah jaringannya kalo push rank jaringan wifi ku lancar²
Hamid Lohani,9 Januari 2025,1,"Setelah update perangkat sudah tidak mendukung grafik Ultra, jangankan ultra, grafik tinggi saja perangkat sudah tidak Mendukung. Update yang bikin pemain malas untuk bermain dan update yang bikin kurang pemain.",update perangkat mendukung grafik ultra ultra grafik perangkat mendukung update bikin pemain malas bermain update bikin pemain
dyah retno,9 Januari 2025,5,"Gamenya seru banget, banyak mini games juga, grafik gamenya juga bagus banget, terus nggk rebutan Role. intinya serulah main ini. Tapi minta tolong kurangi lah Lose Steaknya sama minta tolong ada sistem kalo hero baru nyoba jangan dipake di Rank!! 😉",gamenya seru banget mini games grafik gamenya bagus banget nggk rebutan role intinya serulah main tolong kurangi lose steaknya tolong sistem kalo hero nyoba dipake rank
You Sube,9 Januari 2025,1,"Banyak banget player negatif, udh sampe GM b40 aja, masih ada aja player yang kaya gak tau main, rotasinya jelek, afk, gak mau kerja sama tim... tolong benerin match making nya lagi donk.. rasanya kalau dapet tim tuh gak seimbang banget di season ini, season kemaren masih enak kok. Pas season 7 ini malah gak ada otak... sekalinya main, di kasih beban langsung 3 player, 2 v 5 emank adil?",banget player negatif udh sampe gm b40 player kaya tau main rotasinya jelek afk kerja tim ... tolong benerin match making donk .. dapet tim tuh seimbang banget season season kemaren enak pas season 7 otak ... sekalinya main beban langsung 3 player 2 v 5 emank adil
Gamer Gila,9 Januari 2025,1,"gak stabil banget, ngelagnya 5 detik errornya bermenit², giliran relog langsung 2× loading screen, loading yang ke 2 leletnya setengah mati, bener² gak jelass cape banget afk terus padahal test jaringan dapet 20an, apa gunanya itu kalo cuman jadi pajangan doang, buat balik ke game aja gak bisa bahkan lag sedikit langsung error bermenit² sampe akhir, aneh banget, benerin dong pliss gak nyaman banget sumpah",stabil banget ngelagnya 5 detik errornya bermenit² giliran relog langsung 2 loading screen loading 2 leletnya mati bener² jelass cape banget afk test jaringan dapet 20an gunanya kalo cuman pajangan doang game lag langsung error bermenit² sampe aneh banget benerin pliss nyaman banget sumpah
Dian Novian,9 Januari 2025,5,"Game yang sudah bagus dan sudah di perbaiki. Tapi tolong harus di antisipasi setiap player yang ingin troll dan setiap mau matchmaking pemilihan hero sampai 2 menit tolong di percepat, lalu setiap tolong jangan berikan saya satu tim yang bodoh dan tolol yg tidak mengerti main. Berikan lah tim yg seimbang agar game jadi menarik dan tidak membuat para pemainnya emosi",game bagus perbaiki tolong antisipasi player troll matchmaking pemilihan hero 2 menit tolong percepat tolong tim bodoh tolol mengerti main tim seimbang game menarik pemainnya emosi
Mohammad Fauzan,9 Januari 2025,5,"Aku mau memberi ulasan dan pendapat,semoga untuk kedepannya game HONOR OF KINGS untuk karakter²nya gerakannya,cara kontrolnya,bassic attack,skil²nya di leluasain lagi ya,biar kayak game sebelah,untuk game ini udah OKE kok menurut ku,udah bagus banget tapi menurutku cuma itu kekurangannya🙏.. MAKASIH DEVELOPER",ulasan pendapat semoga kedepannya game karakter²nya gerakannya kontrolnya bassic attack skil²nya leluasain biar kayak game sebelah game udah oke ku udah bagus banget menurutku kekurangannya .. makasih developer
Muiz Wildan,12 Januari 2025,5,"Tolong untuk optimisasi gamenya lebih di tingkatkan lagi terkhususnya untuk device entry level, walaupun saya sudah memakai settingan rekomendasi, sering terjadi frame drop saat nge war sampai 20 fps, umur akun HOK saya sudah hampir 2 tahun karena saya sudah bermain sebelum liris global, sayang banget kalau pensi, karena keterbatasan device.",tolong optimisasi gamenya tingkatkan terkhususnya device entry level memakai settingan rekomendasi frame drop nge war 20 fps umur akun hok 2 bermain liris global sayang banget pensi keterbatasan device
Ryuu,7 Januari 2025,3,"Sebenrnya kurangnya game ini tuh di machmaking nya. Gatau kenapa setiap clasic musuh lembek banget, too easy. Tapi giliran rank, musuh bener"" ga sebanding sama teammate yang asal"" an pick hero, mati terus, buta map, bener"" ngasal mainnya. Dibenerin lagi sistem matchmakingnya. Gameplay aman asal punya ram + memo gede, sinyak jg selalu bagus kok.",sebenrnya kurangnya game tuh machmaking gatau clasic musuh lembek banget too easy giliran rank musuh bener sebanding teammate an pick hero mati buta map bener ngasal mainnya dibenerin sistem matchmakingnya gameplay aman ram memo gede sinyak jg bagus
sakkot silalahi,7 Januari 2025,1,"Game apaaan ini ,kebanyakan bug nya,pergerakan lambat.Awal main bagus,tiba"" duel jaringan nya lemot tiba"",apakah disengaja?? Saya dilaporkan dengan pengurangan nilai,tapi semua gara"" jaringan tiba"" ngeleg.Emang developer tidak bisa melihat apakah pemain gangguan internetnya terganggu. Kalau gini mah tunggu waktunya unisstall aja. Kalau saing Ama MOBILE LEGEND. Saya sudah unisstall game yg bugnya parah kali. Salam Tinggal honor of king.",game apaaan kebanyakan bug pergerakan lambat.awal main bagus duel jaringan lemot disengaja dilaporkan pengurangan nilai gara jaringan ngeleg.emang developer pemain gangguan internetnya terganggu gini mah tunggu unisstall saing ama unisstall game bugnya parah kali salam tinggal
Kayka Layka,6 Januari 2025,4,"Secara keseluruhan gamenya bagus, nggak bikin bosen kalau main game ini, evennya juga menarik, grafiknya sangat bagus. Cuma kadang dapet tim yang kurang hebat kalau lagi main, trus ada yang melanggar lane, padalah sudah ditentukan oleh sistem kalau akan mendapat lane ini. Sebagai contoh seperti, pemain 1 mendapat sebagai roam, tetapi ia menggunakan hero luban no.7 yang dimana luban no.7 adalah hero farm lane, dan itu sangat merugikan pemain yang sudah menggunakan hero berdasarkan suruhan sistem.",gamenya bagus nggak bikin bosen main game evennya menarik grafiknya bagus kadang dapet tim hebat main trus melanggar lane padalah ditentukan sistem lane contoh pemain 1 roam hero luban no.7 dimana luban no.7 hero farm lane merugikan pemain hero berdasarkan suruhan sistem
FX Badut,8 Januari 2025,1,"Game dah mulai gila, dah mulai gak kuat di hp lag nya parah disebabkan banyak animasi yang game semakin berat! Semoga bisa diperbaiki dan dilirik!!!. Tolong diperbaiki jaringannya dah kaga karuan pake WiFi sinyalnya 320 Kbps dah full masih aja ngelag jaringan sempat kuning sama merah lagi padahal sinyal WiFi full. Gimana sih,ini namanya kek game sebelah masalahnya kaga pernah diatasi",game dah gila dah kuat hp lag parah disebabkan animasi game berat semoga diperbaiki dilirik tolong diperbaiki jaringannya dah kaga karuan pake wifi sinyalnya 320 kbps dah full ngelag jaringan kuning merah sinyal wifi full gimana sih namanya kek game sebelah kaga diatasi
Blusukan Wengi Official,4 Januari 2025,1,"Sekali lagi tolong perbaiki dalam hal matchmaking, game aneh, terlalu mudah untuk mode normal, tapi solo rank selalu dapat team nooob, asal pilih Hero, tolong diperbaiki, jangan asal beri masukkan bila ada yang mengeluh, tapi diperbaiki, dalam pemilihan server mungkin yang jadi problem, dan game juga masih banyak bug",tolong perbaiki matchmaking game aneh mudah mode normal solo rank team nooob pilih hero tolong diperbaiki masukkan mengeluh diperbaiki pemilihan server problem game bug
Achnaf tv,22 Desember 2024,1,"Dalam hal update, sudah cukup bagus, tapi dalam hal in game kalian kok bisa ya fps drop, jaringan tiba tiba merah (ping tinggi sampai 400) padahal di jaringan itu sudah double WiFi+4G dengan jaringan double, dan dalam hal fps drop saya periksa juga batrei masih 50% ke atas dan tidak ada mode hemat baterai, dan ada berapa kali saya main terdapat force close, ""menyambung ke server"" tapi setelah itu malah keluar sendiri, Tampa ada riwayat matching, gimana ini... Tolong di benahi dulu server mu itu.",update bagus in game fps drop jaringan merah ping 400 jaringan double wifi 4g jaringan double fps drop periksa batrei 50 mode hemat baterai kali main force close menyambung server tampa riwayat matching gimana ... tolong benahi server mu
Himeko,20 Desember 2024,3,"Game ini grafisnya keren dan hero-nya banyak, jadi seru buat dimainkan. Tapi sistem matchmaking-nya aneh banget, sering ketemu lawan yang terlalu kuat atau tim yang kurang kompeten. Bikin main jadi kurang seru. Selain itu, sering terjadi lag, padahal perangkat sudah spek tinggi. Semoga developer segera memperbaiki matchmaking dan optimisasi supaya pengalaman bermain jadi lebih nyaman. Kalau masalah ini diperbaiki, pasti bakal lebih bagus. Untuk sekarang, 3 bintang dulu.",game grafisnya keren hero seru dimainkan sistem matchmaking aneh banget ketemu lawan kuat tim kompeten bikin main seru lag perangkat spek semoga developer memperbaiki matchmaking optimisasi pengalaman bermain nyaman diperbaiki bagus 3 bintang
Lukman Setiawan,17 Desember 2024,1,"Tolonglah, jaringan diperbaiki udah pake wifi juga ujung-ujungnya tetep lag pas di awal, sejak diperbarui. Dan di menit 8 lancar di game buat apa!? Ga masalah kalau sekali tapi, ini setiap bermain harus nunggu menit 8? Lebih baik, mundurin aja versinya kalau begini terus.",tolonglah jaringan diperbaiki udah pake wifi ujung ujungnya tetep lag pas diperbarui menit 8 lancar game bermain nunggu menit 8 mundurin versinya
Anti War,20 Desember 2024,1,"Bug mu banyak wahai developer. Di atas 7 menit fps mu drop. Jaringan hp full dan baterai masih di atas 50%. Waktu main patah-patah ngga jelas. Perbaikin dulu tuh. Malu noh sama Mobile Legend yang walaupun hp panas, baterai low di bawah 30% sekalipun, dan jaringan sisa 2 batang signal aja masih bisa dimainkan tanpa lag berarti. Lah ini game baru mulai terkenal yang kata iklannya lebih bagus dari berbagai segi ternyata banyak masalah. Ga ada bagusnya fps dan ping mu itu. Updatenya kurang bermutu.",bug mu developer 7 menit fps mu drop jaringan hp full baterai 50 main patah patah ngga perbaikin tuh malu noh hp panas baterai low 30 jaringan sisa 2 batang signal dimainkan lag game terkenal iklannya bagus segi bagusnya fps ping mu updatenya bermutu
Fadlan Panjalu,30 Desember 2024,1,"Makin kesini Game nya makin banyak bug nya,gerak Nya berat .dan banyak dark sistem Nya pula..sangat Mengecewakan sekali,push RANK aja dapat tim nya gak seimbang terus,yg ada RANK aja makin turun..match making gak bagus,dalam game banyak mendadak lag gak bisa gerak..awal main enak..1-2 bln,makin kesini makin gak jelas game nya..banyak bug yg sangat mengganggu dan sangat merugikan",kesini game bug gerak berat .dan dark sistem .. mengecewakan push rank tim seimbang rank turun .. match making bagus game mendadak lag gerak .. main enak .. 1 2 bln kesini game .. bug mengganggu merugikan
darma nur alif,28 Desember 2024,2,"Bagus secara gameplay, tpi banyak event yang kadang kadang masih terlihat bug dan tidak stabil Kemudian, pada saat mode ranked maupun normal 5vs 5, pengelolaan player solo masih terlihat kurang bagus , karena sistem tidak memilih secara merata, sehingga banyak terjadi player feeder yang tidak dihukum secara tegas oleh sistem setelah permainan.",bagus gameplay tpi event kadang kadang bug stabil mode ranked normal 5vs 5 pengelolaan player solo bagus sistem memilih merata player feeder dihukum sistem permainan
Jean Kuma,18 Desember 2024,2,"Teruntuk developer, tolong perhatikan dalam pemilihan tim. Baik rekan maupun musuh. Bermain sendiri cukup berat di sini dengan mendapatkan rekan tim yang buruk sedangkan tim musuh begitu kuat. Berbagai karakter dan item sudah digunakan, tapi tetap saja berat. Ini semua sebab pembagian tim yang tidak seimbang. Sekali lagi harap perhatikan hal ini.",teruntuk developer tolong perhatikan pemilihan tim rekan musuh bermain berat rekan tim buruk tim musuh kuat karakter item berat pembagian tim seimbang harap perhatikan
Mochamad Arfi,27 Desember 2024,2,"Apasih lagi enak² main jaringan nya selalu ngeleg,kalo buka event selalu keluar sendiri tolong lah perbaiki,kalo event² nya sih bagus tapi itu kalo mau buka selalu keluar sendiri,jadi mohon perbaiki kerusakan² yang ada didalam game nya,agar yang main tidak beralih ke game sebelah🙏🙏",apasih enak² main jaringan ngeleg kalo buka event tolong perbaiki kalo event² sih bagus kalo buka mohon perbaiki kerusakan² didalam game main beralih game sebelah
Melani Wahyudi,27 Desember 2024,1,"Game MOBA yang aneh... Gimana rank mau naik kalau selalu ketemu dark system', pengaturan main yang terlalu rapi untuk bisa naik ke rank yg lebih tinggi, game yang terlalu susah di dalam solo rank, & terlalu mudah di dalam permainan klasik / normal... Untuk grafik ok... Untuk pertarungan rank mobile legend yang ok....",game moba aneh ... gimana rank ketemu dark system pengaturan main rapi rank game susah solo rank mudah permainan klasik normal ... grafik ok ... pertarungan rank ok ....
Wafiq Azizah,2 Januari 2025,1,"Gimana sih padahal jaringan bagus kok sering lag?? Padahal pake grafik yang paling rendah juga masih lag, oarah memang. Gara gara itu dibilang afk terus dihukum. Belum lagi banyak player yang gak jelas mainnya, padahal udah berusaha buat menang eh malah ngetroll",gimana sih jaringan bagus lag pake grafik rendah lag oarah gara gara dibilang afk dihukum player mainnya udah berusaha menang eh ngetroll
Maymel kiel,31 Desember 2024,1,"Teruntuk developer ini game dengan keseimbangan yang paling jelek dan sampah, mohon matchmaking diseimbangkan, dalam 10 match terakhir hanya 3 menang dikarenakan banyaknya bot dan player troll. Yang anehnya selalu dalam tim sendiri sedangkan tim lawan tidak, mohon diperbaiki jika bisa beri hukuman paling berat seperti ban akun. Terima kasih.",teruntuk developer game keseimbangan jelek sampah mohon matchmaking diseimbangkan 10 match 3 menang banyaknya bot player troll anehnya tim tim lawan mohon diperbaiki hukuman berat ban akun
"Nanda tresna, juniawan",9 Januari 2025,2,"setelah update sizenya jadi 10 GB anjir, yng tadinya cuma 5 GB 1/2 grafik ke 2 standar Lo itu, ngapa jadi 2 kali lipet sizenya dah, nge bugg apa gimana si, mana sinyalnya sering merah pas udah update, parahnya ga bisa gerak, pas udeh merah, yang bener aje game MOBA 10 GB grafik standar, apalagi yang ultra HD gimana dah, kecilin sizenya Lah, ya walaupun hp gw penyimpanannya 256 GB masih lega, tapi ga pantes aje game MOBA 10 GB anjirr, parah dah, game sebelah aje ga sgitu sizenya ...",update sizenya 10 gb anjir yng 5 gb 1 2 grafik 2 standar lo ngapa 2 kali lipet sizenya dah nge bugg gimana si sinyalnya merah pas udah update parahnya gerak pas udeh merah bener aje game moba 10 gb grafik standar ultra hd gimana dah kecilin sizenya hp gw penyimpanannya 256 gb lega pantes aje game moba 10 gb anjirr parah dah game sebelah aje sgitu sizenya ...
Farhan Irva Muzaky,13 Januari 2025,4,"ni game sebenarnya bagus cuman gak ""balance"" aja, yang sekalinya kena skill langsung sekarat padahal baru early game,beberapa hero tu kadang damage nya ga ngotak,terus stun di game nya tu lama banget,skill juga pas dipencet kadang delay",ni game bagus cuman balance sekalinya kena skill langsung sekarat early game hero tu kadang damage ngotak stun game tu banget skill pas dipencet kadang delay
Elias Siregar,9 Januari 2025,5,Game nya balance tidak berat sebelah. Perbedaan level dan gold tidak langsung jadi titik banding antar kedua tim. Kurangnya di sistem match yang aneh dan sering tim yang jelek sedangkan musuh jago,game balance berat sebelah perbedaan level gold langsung titik banding tim kurangnya sistem match aneh tim jelek musuh jago
Nolep Gaming,9 Januari 2025,1,"volume""never surrender...."" terlalu besar ,mengagetkan orang disekitar saat ingin login ,kenapa pas mau masuk game tombol volume tidak bisa digunakan,bisa digunakan hanya sesudah terdengar never surrender",volume never surrender .... mengagetkan orang disekitar login pas masuk game tombol volume terdengar never surrender
Dio Darma,20 Desember 2024,2,"Pernah download nih game, tapi ada kejadian yang membuat saya hapus nih game, niat saya ingin bermain kembali tapi tetep saja dengan alasan sama, Ngeleg, tolong lah di perbaiki, bagus memanjakan player dengan skin2 gratis yang bagus+banyak, tapi misal di dalam game Ngeleg ya percuma juga main jadi tidak Nyaman, sering2 emosi gegara fps drop Tiba-tiba, padahal pake wifi tetep saja Ngeleg, tolong di perbaiki dengan masalah 'JARINGAN' untuk event dan yang lain udah bagus.",download nih game kejadian hapus nih game niat bermain tetep alasan ngeleg tolong perbaiki bagus memanjakan player skin2 gratis bagus game ngeleg main nyaman sering2 emosi gegara fps drop pake wifi tetep ngeleg tolong perbaiki jaringan event udah bagus
Kay Ryuncinmaru,28 Desember 2024,1,"Sistem pemilihan matchmaking jelek, udah gitu lama. Dark systemnya lebih jelek dr game sebelah padahal ini masih low tier. Pembagian timnya gak seimbang, di tim musuh kadang ngasihnya yg jago dan ngerti main sedangkan tim sendiri mainnya noob parah suka blunder/maju sendiri. Kecewa sm game ini, aku kira bkln better dr game sebelah ternyata jauh lebih buruk. Menang di grafis sama giveaway skinnya doang, sisanya ampas.",sistem pemilihan matchmaking jelek udah gitu dark systemnya jelek dr game sebelah low tier pembagian timnya seimbang tim musuh kadang ngasihnya jago ngerti main tim mainnya noob parah suka blunder maju kecewa sm game bkln better dr game sebelah buruk menang grafis giveaway skinnya doang sisanya ampas
