name,date,star,comment,comment_prep
Robet Sihotang,5 November 2024,1,"Untuk developer,.. tolong itu sistem reportnya diperbaiki,.. masa iya saya direport karna ngomong kasar padahal selama pertandingan gak ada ngetik apa"" dan anehnya lagi kalo saya ngereport orang lain itu karna nge-feed selama pertandingan respon malah gak ada apa"" katanya, aneh ini sistem reportnya,.. kalo gak mau playernya berkurang perbaikilah, jangan cuman nambah Hero doang tau-nya atau berdagang, diperbaiki dululah semua kesalahannya...",developer .. tolong sistem reportnya diperbaiki .. iya direport karna ngomong kasar pertandingan ngetik anehnya kalo ngereport orang karna nge feed pertandingan respon aneh sistem reportnya .. kalo playernya berkurang perbaikilah cuman nambah hero doang tau berdagang diperbaiki dululah kesalahannya ...
Ramadhan,21 November 2024,5,Game nya sangat bagus tapi banyak bug kayak gerak sendiri dll tolong ya Moonton bug nya tolong hilangin biar rating lebih banyak Dan jadi game paling populer nomer 1,game bagus bug kayak gerak dll tolong moonton bug tolong hilangin biar rating game populer nomer 1
Iranada 77,4 November 2024,2,"Saya kecewa berat dgn moonton. Selalu dapet tim gk jelas sedangkan lawan selalu dpt yg pro,selalu lose streak,win pun jarang.Apalagi masalah sinyal nya, hero selalu gk ke kontrol padahal saat dilihat sinyal Saya bagus"" saja. Selalu mikir""paling ini cuma game doang gk papa lah lose streak"".Main ML buat hilangin stress ini malah buat tambah stress. Tolong di perbaiki agar orang yang bermain ML lebih nyaman. Jika kita berpaling ke game lain, jangan salahkan kami karena kami juga lelah,",kecewa berat dgn moonton dapet tim lawan dpt pro lose streak win jarang.apalagi sinyal hero kontrol sinyal bagus mikir game doang papa lose streak .main hilangin stress stress tolong perbaiki orang bermain nyaman berpaling game salahkan lelah
TMZ Chanel,25 November 2024,1,"Game gak jelas . Kebnyakan player tier tinggi tapi skill nya kek tier rendah , coba ubah lah system nya . Di ambil dari cara bermain player dan sandingkan team yang permainan nya juga sama , gimana orang mau terhibur dengab game , bukan malah terhibur tapi tambah stresss andai bisa ku kirim bukti bukti nya kewat foto ku tempel di sini . Ayok lah benerin system matching itu . Lama lama gua pindah game HOK juga woy.",game kebnyakan player tier skill kek tier rendah coba ubah system ambil bermain player sandingkan team permainan gimana orang terhibur dengab game terhibur stresss andai ku kirim bukti bukti kewat foto ku tempel ayok benerin system matching gua pindah game hok woy
Bujlep KS,11 November 2024,2,Benerin lagi serfernya jaringan bagus masa lag analog ga bisa di pencet apakah ada chit tambah ga jelas tiba kembali baru aja main ijin pindah monton bangasatt ajg,benerin serfernya jaringan bagus lag analog pencet chit main ijin pindah monton bangasatt ajg
Heiner Ebenfp,20 November 2024,1,"Seru sih, tapi gk jelass, masa ketemu musuh pake hero yg sama lagi, menang 1×, kalah 5× sama musuh yg pake hero yg sama, contoh kalah pertama sama musuh hero nana, vexana, aamon, nanti pas main kalah lagi sama hero yg sama, heran ngebug kah?, atau gimana, kesel jadinya, buang buang waktu, padahal mau naikin rank, malah kalah 5×lebih, jadi turun",seru sih jelass ketemu musuh pake hero menang 1 kalah 5 musuh pake hero contoh kalah musuh hero nana vexana aamon pas main kalah hero heran ngebug kah gimana kesel buang buang naikin rank kalah 5 turun
CODE 016,22 September 2024,4,"Game yg cukup bagus menurut saya,kalian bisa belajar arti sebuah kekompakan tim untuk mencapai kemenangan dan apa itu kesabaran, walaupun banyak draksistem ,sekali kali kalian juga bisa bacotin tim sendiri buat yg mainnya tll",game bagus belajar arti kekompakan tim mencapai kemenangan kesabaran draksistem kali bacotin tim mainnya tll
Batista Kristiando,2 September 2024,1,"Selalu persoalan matchmaking yang ga seimbang, lu keluarin banyak skin baru, update data terus tampilan dll, tapi sistem matchmaking lu kagak di perbaikin, semua player butuh keseimbangan dalam game, bukan hanya tampilan visual doang yg bisa lu tampilin, tolong lah di perbaikin masalah ini",matchmaking seimbang lu keluarin skin update data tampilan dll sistem matchmaking lu kagak perbaikin player butuh keseimbangan game tampilan visual doang lu tampilin tolong perbaikin
imron Byson,30 November 2024,2,"Main mobile lagend makin parah dark sistemnya dikasik tim tolol terus jadi bikin males dan bosan main mobile lagendnya,kayak gak ada manfaatnya sekarang main game ini yg ada cuman bikin emosi",main lagend parah dark sistemnya dikasik tim tolol bikin males bosan main lagendnya kayak manfaatnya main game cuman bikin emosi
rezafadilah hamzah,3 Desember 2024,1,Benerin dulu sistem nya game rusak Ketemu nya dark sistem terus tim nya lose treak terusss gara gara dark sistem main solo ketemu duo main solo ya solo lagii moonton GAME RUSAKK!!!,benerin sistem game rusak ketemu dark sistem tim lose treak terusss gara gara dark sistem main solo ketemu duo main solo solo lagii moonton game rusakk
Viona Nusaviani,1 Desember 2024,4,Game nya bagus sih tapi yg paling jelek adalah ketika main rank cs dll itu mesti di kasih tim drak sistem mulu cape bgt lostrek mulu tolong kasih tim yang imbang sama musuh imbang pilssss😭,game bagus sih jelek main rank cs dll mesti tim drak sistem mulu cape bgt lostrek mulu tolong tim imbang musuh imbang pilssss
muzaky rendra,9 Desember 2024,1,"gamenya sudah bagus tapi tolong klo maen solo ketemu musuhnya juga harus solo ini ketemunya yang partyan mlu, apalah kena mute padahal cuma ngetik ""minta ajarin sm fny"" gjls bintang satu ls terus capek",gamenya bagus tolong klo maen solo ketemu musuhnya solo ketemunya partyan mlu apalah kena mute ngetik ajarin sm fny gjls bintang ls capek
Supri Yadi,16 Desember 2024,5,"klu masih yg Kya dlu masih mending bisa menang ngk kebanyakan kalh TPI sekarang kebanyakan kalh? padahal ping aku 25ms sampai 45ms kq tetap ngk ada hasilnya sama sekali tau-tau gini mending install aja aplikasi nya cuma buangan"" waktu aja tolong lh moonton diperbaiki lagi..........? mask ram 8/256GB kq masih leg ini tepat ngk bisa masuk ke dalam game apa lagi eror ya dari tadi nungguin ngk masuk"" kurang lah min bug nya.?",klu kya dlu mending menang ngk kebanyakan kalh tpi kebanyakan kalh ping 25ms 45ms kq ngk hasilnya tau tau gini mending install aplikasi buangan tolong lh moonton diperbaiki .......... mask ram 8 256gb kq leg ngk masuk game eror nungguin ngk masuk min bug
Farel Mas,1 Desember 2024,1,game moba ini sangat bagus dan banyak event² yang menarik jadi tunggu apa lagi ayo mainkan sekarang jangan sampai ketinggalan event bagus-bagus dan tur m6 lagi di adakan,game moba bagus event² menarik tunggu ayo mainkan ketinggalan event bagus bagus tur m6 adakan
Adora Exe,13 Oktober 2024,3,"bagus sih cuman paling kesel tuh pemilihan team nya sering bgt ak dapat team yang dark simtem terus klo lagi enak2 nya main tiba2 malah lag gk bisa jalan kadang gerak sendiri, padahal jaringan ak nya lancar tp knp bisa lag kan aneh😞😞 gara2 itu rank saya jadi turun drastis",bagus sih cuman kesel tuh pemilihan team bgt ak team dark simtem klo enak2 main tiba2 lag jalan kadang gerak jaringan ak lancar tp knp lag aneh gara2 rank turun drastis
endang Ameame,6 Desember 2024,5,"Saya main dari jam 7 malem sampai jam 1 ketemu musuh yang ituh truss dan ketemu tim kaya bot, tolong pihak developer melegend perbaiki drak sistem nyaa saya gaakasns main sebelum di perbaiki",main jam 7 malem jam 1 ketemu musuh ituh truss ketemu tim kaya bot tolong developer melegend perbaiki drak sistem nyaa gaakasns main perbaiki
Soulid Lesmana,5 Oktober 2024,1,"Matchmakingnya tolong diperbaiki. Perbedaan rank yang tidak seimbang. Dan masalah jaringan ngelag terus saat team fight, aneh update bukannya tambah bagus malah jelek. Gk ada perubahan, parahhhh",matchmakingnya tolong diperbaiki perbedaan rank seimbang jaringan ngelag team fight aneh update bagus jelek perubahan parahhhh
Reynard Axelle,26 November 2024,1,game nya gj kalo ngasih tim ga imbang seperti role yang sma tapi tim musuh jauh berbeda semoga keluh kesah saya di baca dan tolong perhatian nya MOONTON,game gj kalo ngasih tim imbang role sma tim musuh berbeda semoga keluh kesah baca tolong perhatian moonton
Muzakir Kc,2 Desember 2024,2,"Dear, moonton. Saya sangat senang bisa memainkan game ini, namu ada hal yang membuat saya tidak puas yaitu grafis dari map imperial yang tidak hd, dan size nya pun cuma 31 mb, hp saya bisa menggunakan grafis ultra tapi grafis map imperial masih tetap sama dengan high. Saya sudah berulang kali menghapus game dan menginstal ulang game, namun hasilnya tetap sama. Mohon perbaiki bug yang mengganggu seperti itu. Jika bug nya sudah di perbaiki, mungkin bisa saya kasih rating 5. Sekian, Muzakir",dear moonton senang memainkan game namu puas grafis map imperial hd size 31 mb hp grafis ultra grafis map imperial high berulang kali menghapus game menginstal ulang game hasilnya mohon perbaiki bug mengganggu bug perbaiki rating 5. sekian muzakir
ali hasan yahya,26 Oktober 2024,1,"Tolong hapus fitur chat di dalam gameplay. Quick chat saja sudah cukup. Karena fitur chat di dalam pertandingan. Selain tidak berguna, juga sangat mengganggu pengalaman bermain. Dan juga apakah game ini tidak ada niatan utk memperbaiki sistem matcmaking?!! Setidaknya pertahankan bintang bagi MVP dalam tim yang kalah tidak naik maupun turun.",tolong hapus fitur chat gameplay quick chat fitur chat pertandingan berguna mengganggu pengalaman bermain game niatan utk memperbaiki sistem matcmaking pertahankan bintang mvp tim kalah turun
Alif Ammar F,17 November 2024,2,"mohon diperbaiki bug nya kerena ada misi top up 11.11 untuk mendapatkan token gratis tidak berfungsi, saya melakukan top up lebih dari 200 diamond tetapi tidak mendapatkan toke. gratis, padahal minimum untuk mendapatkan token gratis adalah top up berapapun, mohon di tindak lanjuti SEGERA",mohon diperbaiki bug kerena misi top up 11.11 token gratis berfungsi top up 200 diamond toke gratis minimum token gratis top up mohon tindak lanjuti
Ahmad Nuroni,15 November 2024,1,sistem nya aneh banget kalo main solo sukanya di kasih tim ga jelas jadi losetreak 5x abis tu di kasih misih bot aneh cape main dari jam 3 pagi sampe jam 7 malam bintang cmn naik 1 kalo ga turun 1,sistem aneh banget kalo main solo sukanya tim losetreak 5x abis tu misih bot aneh cape main jam 3 pagi sampe jam 7 malam bintang cmn 1 kalo turun 1
Su Arif,25 November 2024,5,"Dari gambar sudah bagus, dari fungsi agak terlihat banyak sekali kesan visual yang bisa menjadi suatu hal yang menurut saya itu banyak sekali kesannya, dari penggambaran suara hero dan lebih baik lagi efek yang sangat berpengaruh kalau untuk saya dari banyak semua sudah membuat saya merasa puas untuk permainan nya walaupun memang permainan itu pasti ada awal dan akhir dari permainan.",gambar bagus fungsi kesan visual kesannya penggambaran suara hero efek berpengaruh puas permainan permainan permainan
Sakti Wijaya,10 November 2024,5,"Seru game nya, yang belum pernah main boleh di coba irit banget makan kuota data nya Kalian gausah takut habis paketan deh di jamin irit baget",seru game main coba irit banget makan kuota data gausah takut habis paketan deh jamin irit baget
Mas Feri,24 November 2024,1,Game kok aneh skin nya mahal kalo main tiba2 keluar sendiri terus dituduhkan AFK terus kalo masuk login lagi masuk ke pertandingan mya lama banget,game aneh skin mahal kalo main tiba2 dituduhkan afk kalo masuk login masuk pertandingan mya banget
Nanda Ramayani,4 November 2024,2,"Game apa ini ajg, bisa ngasih tim gk sih. Ya minimal setara lh, lo kira orang main biar apa. Buat ngisi waktu kosong kocak, buat ngehibur diri. Bukan bikin setres, lo kira game lu bagus bgt sampai ngasih tim gitu? Amit-amit. Grafik lo gk sebagus itu, animasi lo gak sebagus itu, skin nya gak sebagus itu. Lo kira event yang lo kasih keren? Lawak😂",game ajg ngasih tim sih minimal setara lh lo orang main biar ngisi kosong kocak ngehibur bikin setres lo game lu bagus bgt ngasih tim gitu amit amit grafik lo sebagus animasi lo sebagus skin sebagus lo event lo keren lawak
Mursidah Mama,26 November 2024,5,"Saya selama 12 tahun disini,saya sunguh menyukai dimulai dari grafik ,herorevam ,dll tetapi tolong diperbaiki lagi jika kalau ada kendala😎",12 sunguh menyukai grafik herorevam dll tolong diperbaiki kendala
Robin,20 November 2024,1,"gw top up 500 lgsg di event 11.11 tgl 16 Sabtu kemarin, tpi kena bug yg dimna misi top up tsb gak kehitung oleh sistem. Sunggu merugikan!!!",gw top up 500 lgsg event 11.11 tgl 16 sabtu kemarin tpi kena bug dimna misi top up tsb kehitung sistem sunggu merugikan
Andre Pandiangan,5 Desember 2024,1,Sudah gak enak kali game Baru mulai sudah kalah itu pun dapat tim gue dark sistem itu pun bukan 1 kali tapi setiap kali dapat dark sistem,enak kali game kalah tim gue dark sistem 1 kali kali dark sistem
Angeline Kabang,9 Oktober 2024,1,"kenapa gw kurangim bintangnya lagi karena sering bnget lag dari pemilihan hero sampai pertandingan, sehingga gw sering kena AFK. sinyal wifi dirumah lancar banget. dan juga sering force close pas lagi war. gimana mau main nyaman jika bug begini malah makin parah setiap ganti season. gw harap pihak montoon dapat segera perbaiki masalah ini. jika udah beres gw tambahkan bintangnya jadi 5.",gw kurangim bintangnya bnget lag pemilihan hero pertandingan gw kena afk sinyal wifi dirumah lancar banget force close pas war gimana main nyaman bug parah ganti season gw harap montoon perbaiki udah beres gw tambahkan bintangnya 5
Raden Hidayat,18 November 2024,1,"dulu bisa pake loading screen video skrng pelit amat jdi kepotong terus,dulu full juga bisa skrng dahlah kikir kikir,ga mentingin player bet",pake loading screen video skrng pelit jdi kepotong full skrng dahlah kikir kikir mentingin player bet
Pengguna Google,29 November 2024,5,Game ini bagus banget aku udah epic tapi yang masih kecil jangan main mode rank karena kadang menang kadang kalah kalo mode offline enak banget karena main tanpa jaringan jadi untuk anak kecil jangan main mode rank,game bagus banget udah epic main mode rank kadang menang kadang kalah kalo mode offline enak banget main jaringan anak main mode rank
Sepシ,24 November 2024,1,"Tolong perbaiki masalah match yang tidak adil akibat Ke tidak seimbangnya tim musuh dan tim sendiri, sering tim sendiri lebih buruk performanya dari pada tim musuh.",tolong perbaiki match adil akibat seimbangnya tim musuh tim tim buruk performanya tim musuh
Pengguna Google,6 Desember 2024,2,"Sekarang matchmaking nya jelek padahal udh rank lumayan tinggi tapi dapat tim banyak yang darksystem. Lag juga parah, jaringan saya lancar tapi kalo main ml tiba² jadi lag parah",matchmaking jelek udh rank lumayan tim darksystem lag parah jaringan lancar kalo main tiba² lag parah
Arden Official,17 Desember 2024,1,Makin lama makin hancur ..Jaringan bagus ping nya ko naik turun ..utamakan performa jaringan di bagusin hp ram 12 masih Aja lag ...gak kaya tahun 2017 an lancar ...,hancur .. jaringan bagus ping ko turun .. utamakan performa jaringan bagusin hp ram 12 lag ... kaya 2017 an lancar ...
Muhamadali Tunggal,8 Agustus 2024,1,"Percuma pembaharuan kalo cheat masih berkeliaran, sistem tidak stabil banyak bug dan lag sana-sini controller tidak stabil penargetan tidak sesuai, mlbb di update bukannya tambah bener malah bikin makin crush, beban nambah permasalahan di bug malah makin tambah beban buat pemain, sudah tidak praktis lagi. Tidak kaya dulu 5 THN belakang ini makin gak jelas, hp spek tinggi jg kga ngaruhnya game itu lancar.",pembaharuan kalo cheat berkeliaran sistem stabil bug lag controller stabil penargetan sesuai mlbb update bener bikin crush beban nambah permasalahan bug beban pemain praktis kaya 5 thn hp spek jg kga ngaruhnya game lancar
Muhammad Hadzami,10 Desember 2024,1,"Saya beri bintang satu karna saya tidak di berikan kemenangan satu pun oleh moonton dan akun saya terkena dark sistem, jadi buat orang yang ngasih rating bintang lima plis kasih bintang satu aj klo anda kasih bintang lima saya akan mendoakan kepda yg memberi bintang lima semoga cepet meninggal dan mati kecelakaan jadi setelah ini saya akan hapus game ini dan tidak akan pernah bermain di game ini lagi",bintang karna kemenangan moonton akun terkena dark sistem orang ngasih rating bintang plis bintang aj klo bintang mendoakan kepda bintang semoga cepet meninggal mati kecelakaan hapus game bermain game
Yana Tolol,16 Desember 2024,1,"saya sangat aneh pada game satu ini, sinyal internet saya lumayan kencang, tetapi sinyal saat di lobby maupun saat match tiba tiba menghilang",aneh game sinyal internet lumayan kencang sinyal lobby match menghilang
Anscorpio Gaming,20 November 2024,4,"Game kikir, janji mau kasih kompensasi di tanggal 20-11-24 waktu server 00:00, tapi tetep aja gak dapet Kecewa banget, udah top up gede juga Kalo gak niat benerin bug mending gak usah kasih janji buat ngasih kompensasi.",game kikir janji kompensasi tanggal 20 11 24 server 00 00 tetep dapet kecewa banget udah top up gede kalo niat benerin bug mending janji ngasih kompensasi
Pendoh Toro,25 November 2024,5,"Tolong skin nya di kasih gratis ke orang yang baru bermain/akun baru🙏.tapi saya sangat puas dengan permainan ini,, walaupun skin–skin nya mahal–mahal.",tolong skin gratis orang bermain akun baru.tapi puas permainan skin skin mahal mahal
ryanto muhammad,7 November 2024,1,"Season kali ini paling rusak. Makin sering top up malah dapat dark systemnya gak ngotak. Kapitalis kikir moonton. Ntah banyak jokinya apa memang sistemnya rusak, sampai mytic pun dapat player kayak epic.",season kali rusak top up dark systemnya ngotak kapitalis kikir moonton ntah jokinya sistemnya rusak mytic player kayak epic
paris Alfarrasya,9 Desember 2024,2,game kocak bisa bisanya gk bisa ngebedain mana orang yang cocok buat satu tim gk ush jadi developer game mana banyak bug nya lagi,game kocak bisanya ngebedain orang cocok tim ush developer game bug
Sholahuddin Halim,8 Desember 2024,5,Sistem nya sekarang makin aneh. Mohon untuk pihak moonton kurangi dong dark sistemnya. Dan perbaiki sistem. Tadi adanya bug dalam draf pick,sistem aneh mohon moonton kurangi dark sistemnya perbaiki sistem bug draf pick
Rani Nuraini,14 November 2024,1,"game nya pilih musuh gk ngotak semua, trus kalau dapat tim bot semua, trus juga ada yang ngetroll, tolong perbaiki dong montoon, kalau ada yg troll susband aja",game pilih musuh ngotak trus tim bot trus ngetroll tolong perbaiki montoon troll susband
Agus Optik,7 Desember 2024,5,Aku suka game nya meskipun ada bug sih misalnya pas regen ada hero lawan yg nyerang malah gk ke regen tapi aku tetap suka sama ni game,suka game bug sih pas regen hero lawan nyerang regen suka ni game
Hamida Mid,3 Agustus 2024,4,"Suka nge lag gak jelas padahal jaringan ku udh bagus! Pas aku main game lain juga lancar² aja, cuman pas main ML doang nge lag nya...!! Kepada pihak developer mohon diperbaiki lagi untuk kedepannya. Padahal menurutku ini game tuh udh bagus, cuman minus nya ya itu tadi!",suka nge lag jaringan ku udh bagus pas main game lancar² cuman pas main doang nge lag ... developer mohon diperbaiki kedepannya menurutku game tuh udh bagus cuman minus
Muhammad Kasyfi,26 November 2024,2,"gameya bagus cuman sayang ada bug yg sangat mengganggu. kesalahan itu menjadi hal yg fatal dalam pengalaman bermain😔. Harus seperti apa moonton, sudah saya laporkan tapi seperti tidak ada tindakan. apakah harus lewat rating aplikasi supaya bug nya dapat di fix kan?",gameya bagus cuman sayang bug mengganggu kesalahan fatal pengalaman bermain moonton laporkan tindakan rating aplikasi bug fix
Rafa Aidilakbar,21 Oktober 2024,3,Kenapa gua kasih bintang 3 karna kesalahan kecil tapi pusing ya itu adalah gua mau ngecet temen pas lagi main di Reng nah pas gua udah keluar nah masuk lagi ke game nya tapi loading nya lama sumpah gua mau ngomentari ini karna ya itu loading nya lama sampi 97% ga naik naik yang lain nya 100%. Jadi saya mohon kepada pembuat Mobile Legends mohon di per baiki,gua bintang 3 karna kesalahan pusing gua ngecet temen pas main reng pas gua udah masuk game loading sumpah gua ngomentari karna loading sampi 97 100 mohon pembuat mohon baiki
Jonni Eduard Sihaloho,25 November 2024,3,"Game nya sih udh bagus,cuman kalo kasih match itu yg benerlah moonton,lawan tim GK adil banget masa temen gw main nya bodo sih?kadang2 juga jaringan tiba2 naik sendiri.udh segitu aj semoga dimengerti",game sih udh bagus cuman kalo match benerlah moonton lawan tim adil banget temen gw main bodo sih kadang2 jaringan tiba2 sendiri.udh segitu aj semoga dimengerti
Good Job,6 November 2024,2,Update trus tp server tetap saja gangguan nya sering bgt. Nggak usah sering-sering update atau mungkin merilis hero-hero baru lah perbaiki dulu server. Kalau begini terus lama-lama nanti pindah ke game sebelah.,update trus tp server gangguan bgt nggak update merilis hero hero perbaiki server pindah game sebelah
davit sihombing,13 Desember 2024,1,"Sebelumnya mohon maaf moonton saya kasih bintang 1 karna Dark Sistem game anda makin lama makin parah, saya sendiri merasakan tidak pernah mendapatkan tim sesuai ketika solo rank, kalo bisa saya minta tolong dark sistem nya di hapus, Jujur aja moonton Lama-lama banyak yang pindah game dan uninstall game anda, sekian dari saya terima kasih bnyk moonton🙏🙏🙏",mohon maaf moonton bintang 1 karna dark sistem game parah merasakan tim sesuai solo rank kalo tolong dark sistem hapus jujur moonton pindah game uninstall game sekian bnyk moonton
andi yani kurnia,1 Desember 2024,1,"Kenapa sistem muntun jelek banget sumpah buat solo player , setiap mau naik tier selalu di persulit/di bikin stuck . Kenapa begitu? Takut player solo berkembang? Jangan pengecut kalau buat sistem itu yg adil dong , yg menang ketemu yg menang yg kalah di pertemukan dengan yg kalah , punya match making buruk banget ini game gua yakin semua ngerasain hal yang sama mau gimana pun juga, entah party atau solo, Game Rusak !",sistem muntun jelek banget sumpah solo player tier persulit bikin stuck takut player solo berkembang pengecut sistem adil menang ketemu menang kalah pertemukan kalah match making buruk banget game gua ngerasain gimana party solo game rusak
HILMY FITRA HARIYANSA,18 November 2024,5,"game tol** udh mah tim kaga bisa ngerti game nya musuh make apa dia make apa tolong moonton kasih team yang benar dong saya main 3 game kalah semua karna team tol**, g*bl*g yang kaga ngerti main tolong di ban kan mohon sangat ini saya kasih bintang 5 agar anda lihat sendiri dasar game kurang kompeten",game tol udh mah tim kaga ngerti game musuh make make tolong moonton team main 3 game kalah karna team tol g bl g kaga ngerti main tolong ban mohon bintang 5 lihat dasar game kompeten
Caroline Angelica,10 November 2024,1,"heran kenapa sih monton sehari aja kasih menang 2 atau 3 kali, cape tau ga main ml udah carry game nya tapi tim nya ga mendukung, banyak juga bug, map hack,saya high rank nya honor, ketemu yang tim stack legend terus, ga adil bgt game nya, jadi berat sebelah kalau punya game di atur coba",heran sih monton sehari menang 2 3 kali cape tau main udah carry game tim mendukung bug map hack high rank ketemu tim stack adil bgt game berat sebelah game atur coba
mahen drabin,19 November 2024,1,"Admin, tolong repair jaringan selalu lag dalam game. padahal main pubg mobile aman"" saja jaringan. Setelah update kemarin hari malah tambah lag",admin tolong repair jaringan lag game main pubg aman jaringan update kemarin lag
Kota Cirebon,27 Agustus 2024,2,"Yang bikin kesal itu tiba2 sering terjadi lag, ping tiba2 drop jadi merah. Masa iya dari koneksi internet. Sudah coba jaringan sekelas Telkomsel sampai ke jaringan Wi-Fi. Al hasil masih sering terjadi lag. Tolong perhatikan sebagai developer, daripada saya harus kesal terus mending lama2 di uninstall dan kasih rate 1 bintang. (Itu lebih baik daripada pihak developer tidak ada perubahan)",bikin kesal tiba2 lag ping tiba2 drop merah iya koneksi internet coba jaringan sekelas telkomsel jaringan wi fi al hasil lag tolong perhatikan developer kesal mending lama2 uninstall rate 1 bintang developer perubahan
bakti ojan,15 Desember 2024,5,"Lose streak MVP tapi kalah. makanya banyak yang pindah HONOR OF KING, game nya makin berat + lag jaringan makin kacau + DARK SISTEM makin banyak di high tier",lose streak mvp kalah pindah game berat lag jaringan kacau dark sistem high tier
Christian Parura,29 November 2024,1,Game gk jelas ngebug segala macam padahal jaringan ku gpp. Dapat tim musuh gampang ternyata tim gw mainnya kaya bot malah lebih gampang lagi,game ngebug jaringan ku gpp tim musuh gampang tim gw mainnya kaya bot gampang
